"","moderator","Qm","Qmdf","Qmp","Qe","Qedf","Qep"
"1","Overall",NA,NA,NA,"1008.26243450001","177","2.0810740722242e-116"
"2","depth","1.42146363058136","2","0.244117568163157","1092.4116181938","176","4.86609543371894e-132"
"3","ccseason","9.87241969123093","3","4.76247809530066e-06","953.708162285021","175","2.08206756374142e-107"
"4","ccadded","4.77331622821295","3","0.00318571227066739","985.425802879178","175","4.54002267538281e-113"
"5","maincrop","2.37831467748725","4","0.0536873581623573","834.783816275064","174","6.47659951800615e-87"
"6","tillage","1.98211058279309","2","0.14084184262011","776.689887553546","176","2.46485059606256e-76"
"7","nfert","0.00249493183944768","1","0.960255057064246","633.187222461823","108","3.02044016656161e-75"
"8","ag.C.inputs","20.9038143469564","1","1.62733002753349e-05","108.728157126338","85","0.0423772036232581"
"9","species.added","2.38535888936939","1","0.124272922059552","824.788408357171","176","1.62327854463151e-84"
"10","duration","0.0555877403406933","1","0.813891241762611","882.475640314511","172","6.49939000253746e-96"
"11","sand","0.0734009041125137","1","0.786902065645224","944.823726693468","123","7.55014624393032e-127"
"12","silt","0.00152476461786","1","0.968922076862754","937.613312153996","111","6.16650364151953e-131"
"13","clay","0.42982685049201","1","0.513361026660251","763.51616861087","117","1.73593951713943e-95"
"14","toc","0.00231603972188833","1","0.961711458645756","193.622799120125","101","8.47933130754163e-08"
"15","ph","0.921223707124683","1","0.339116422235166","243.494961846067","118","9.69214147972851e-11"
"16","Temp","0.361539705135578","1","0.548426014824834","896.414223699916","176","6.22858737493199e-97"
"17","Prec","0.728484391319391","1","0.394535026582638","909.004250249365","176","3.85511716856072e-99"
"18","soilorder","1.06947942507716","2","0.345406664573297","1046.30277902442","176","1.18520287302681e-123"
"19","Continent","3.05590314433741","2","0.0495863103378341","799.529694069713","176","3.33976847229996e-80"
"20","SoilCollectionSeason","4.22931871805831","3","0.00647159400723013","652.885265448012","175","2.82929375742585e-56"
"21","FractionationMethod","5.45540619000059","1","0.0206285447505071","1112.56277312231","177","2.52372352926847e-135"
"22","DispersingAgent","2.66737463235839","3","0.0492867032711906","964.492182225941","175","2.50094652926719e-109"
"23","ResponseCalc","4.8468030439509","2","0.00893270841334201","1006.40637903022","176","1.86941876948782e-116"
