"","study","mean","lci","uci","nobs","mean_bt","lci_bt","uci_bt"
"1","Baye09",0.0601827439268881,0.0340954936400581,0.0862699942137181,323,6.20306084568665,3.46834076955194,9.01006094331576
"2","Blan",0.0589477306835182,0.0331678929668024,0.0847275684002341,343,6.07197961924217,3.37240796753804,8.84205061642902
"3","Mott",0.0569241531499847,0.0310524558619792,0.0827958504379901,336,5.85755177320424,3.15396127668996,8.63200141543021
"4","Moor",0.0591219820790867,0.032949772580669,0.0852941915775043,338,6.09046442017593,3.34986279686666,8.9037405207842
"5","Amad",0.0563439535624932,0.0309103843759223,0.0817775227490641,340,5.79615107938363,3.13930708111505,8.52143474659031
"6","Balb",0.0589707077408142,0.0328756070178486,0.0850658084637799,338,6.07441686919568,3.34219808035745,8.87887158535836
"7","Belt18",0.0570950948835735,0.0314280378511428,0.0827621519160043,343,5.87564879334177,3.19271132311063,8.62834073922216
"8","Belt21",0.0584641349538536,0.0323003182920809,0.0846279516156264,332,6.02069606411482,3.28276357654493,8.83120866134581
"9","Cres",0.0557552590157072,0.0302254259837832,0.0812850920476311,336,5.73388779099959,3.0686851364784,8.46800861577068
"10","Duva",0.0583888996684036,0.0322131812441812,0.084564618092626,332,6.01271986683232,3.27376421352261,8.82431621575264
"11","Garc13",0.0547601211773798,0.0299304206945273,0.0795898216602323,338,5.62872033520156,3.03828381370248,8.28428179010938
"12","Garc18",0.0635985277811807,0.0391272893972388,0.0880697661651226,341,6.56644781855673,3.99028438321336,9.20643085094193
"13","Guim",0.0532635656717595,0.0297340637268567,0.0767930676166623,332,5.47075932042727,3.01805351498388,7.98186038342794
"14","Hang",0.0582902219844853,0.0322935968433648,0.0842868471256058,340,6.00225929329106,3.28206936907935,8.7940921780765
"15","Mart",0.0591203011887709,0.0329506794031927,0.0852899229743491,334,6.09028609389157,3.34995651689258,8.90327565492595
"16","Nasc",0.0596546461807635,0.0334428261879852,0.0858664661735417,324,6.14699005535462,3.40083238387112,8.96608120119016
"17","Neto",0.0610889677980357,0.0354498159094205,0.086728119686651,341,6.29934821698153,3.60856518071833,9.06001267024548
"18","Obry",0.0594643451707642,0.0335740861712821,0.0853546041702462,342,6.1267920978455,3.41440566619762,8.91031987684432
"19","Roso",0.0549656410091674,0.0299625578998385,0.0799687241184963,329,5.65043136298375,3.04159522939385,8.32531874468152
"20","Ruis17",0.0589619465057967,0.0329093041271973,0.0850145888843961,340,6.07348753037122,3.34568047237944,8.87329499816842
"21","Ruis20",0.0606537396255589,0.0346686553120681,0.0866388239390496,332,6.25309381226173,3.52766185540991,9.0502745096753
"22","Sala",0.0615037186777093,0.0357857619187925,0.0872216754366262,337,6.34344510914353,3.6433779119992,9.113853152138
"23","Wegn",0.0604802008360825,0.0344660854094471,0.0864943162627178,332,6.23465637883462,3.50669239099217,9.03451704646718
"24","Fras",0.0601571072785263,0.0340768496165419,0.0862373649405107,332,6.20033819006083,3.46641172135611,9.0065040822841
"25","Ball",0.0553563685323386,0.0302377594646264,0.0804749776000508,341,5.69171996012254,3.06995633997122,8.38017269826745
"26","Beeh",0.0594256266790199,0.0332771321040936,0.0855741212539463,320,6.12268310806929,3.38370089700784,8.93423017691217
"27","Cate",0.0598557983273151,0.0337581933315132,0.0859534033231171,336,6.16834389786789,3.4334467514981,8.97555481348864
"28","Chen",0.0604262926896694,0.0344069785214602,0.0864456068578786,338,6.2289296197853,3.50057461332229,9.02920616938081
"29","deOl",0.0604646933428139,0.0344563883777546,0.0864729983078732,328,6.23300895838967,3.50568868818215,9.03219267833175
"30","Land",0.0575427728726773,0.0314596638560802,0.0836258818892745,329,5.92305760203691,3.19597494791586,8.72220682470544
"31","Rigo",0.059478704731129,0.0333846533083062,0.0855727561539518,338,6.12831604286452,3.39481743464529,8.93408147089667
"32","Yao19",0.0579970549356539,0.0318481172598565,0.0841459926114513,338,5.97118747860323,3.23606956258098,8.77876911826627
"33","Wies",0.0596434556399165,0.0335226159055509,0.0857642953742821,336,6.1458022197729,3.4090830362373,8.95494861830377
"34","Isla",0.0607778019754641,0.0350239717228264,0.0865316322281018,340,6.26627663849408,3.56445346857945,9.03858585064616
"35","Lado",0.0605951259230616,0.0348178915073266,0.0863723603387965,341,6.24686610754779,3.54311308268171,9.02122045201719
"36","Sequ",0.0595481222518023,0.0336993280320438,0.0853969164715608,342,6.13568346314852,3.42735828988123,8.91492822060933
"37","Thap",0.0602688728110938,0.0341501129472411,0.0863876326749465,323,6.21220839074479,3.47399229297989,9.02288547345775
"38","Sain",0.0576474604528342,0.0317645602379054,0.083530360667763,341,5.93414701107164,3.22744382442592,8.71182204269554
"39","Cast",0.0601258329754786,0.0342617029759394,0.0859899629750178,342,6.19701690043628,3.48553960301974,8.97953899466801
"40","Grif",0.0598419763356887,0.0339162929797397,0.0857676596916377,342,6.16687645004907,3.44980083579778,8.95531517794499
"41","Kois",0.0597402740077983,0.0337988612662346,0.0856816867493619,342,6.15607958061193,3.43765326169305,8.94594837157427
"42","Muku",0.0577838135299967,0.0318107432854218,0.0837568837745716,339,5.94859244281034,3.2322112924563,8.7364505717316
"43","Snap",0.0596157394094964,0.0336582066080236,0.0855732722109692,341,6.14286029903011,3.42310529707086,8.93413768710833
"44","Kaue",0.0598763018224238,0.0339092133857682,0.0858433902590793,340,6.17052074230406,3.44906845580391,8.96356673823293
