"","datatype","numstud","numobs","averageduration","averagedepthmidpoint","averagenfert","averagecinputs"
"1","All",49,926,5.16630196936543,10.7165226781857,39.7790818181818,1.761630247588
"2","POC",48,404,4.795,11.2277227722772,43.0337389380531,1.79122523839231
"3","MAOC",23,178,5.3735632183908,9.69662921348315,31.5513181818182,2.15950647931034
"4","SOC",44,344,5.49705882352941,10.6438953488372,40.5711448598131,1.54606952931703
