"","X","StudyID","Obs.ID","DOI","DispersingAgent","DispersingAgent.SodiumHex","DispersingAgent.OtherSolution","DispersingAgent.GlassBeads","DispersingAgent.Sonication","DispersingAgent.Combo","FractionationMethod","FractionationMethod.Size","FractionationMethod.Density","FractionationMethod.SizeAndDensity","Continent","Continent.Africa","Continent.Asia","Continent.Australia","Continent.Europe","Continent.NorthAmerica","Continent.SouthAmerica","country","ResponseCalc","ResponseCalc.Direct","ResponseCalc.Indirect","rv.type","summed","rv","mean.control.in.g.kg.1","mean.treatment.in.g.kg.1","sd.control.in.g.kg..1","sd.treatment.in.g.kg.1","sd.imputed.in.g.kg.1","control.BD..Mg.m.3.","treat.BD..Mg.m.3.","mean.control.in.Mg.ha.1","mean.treatment.in.Mg.ha.1","sd.control.in.Mg.ha.1","sd.treatment.in.Mg.ha.1","sd.imputed.in.Mg.ha.1","depth.upper.limit..cm.","depth.lower.limit..cm.","depth.type","depth.surface","depth.subsoil","depth.deepsoil","depth.upperprofile","depth.lowerprofile","depth.wholeprofile","soilorder","soilorder.Alfisols","soilorder.Inceptisols","soilorder.Mollisols","soilorder.Oxisols","soilorder.Spodosols","soilorder.Ultisols","Baseline.depth..cm.","Baseline...sand","Baseline...silt","Baseline...clay","Baseline.TOC..","Baseline.pH","pH.method","SoilCollectionSeason","SoilCollectionSeason.spring","SoilCollectionSeason.summer","SoilCollectionSeason.fall","SoilCollectionSeason.winter","location.name","lat.decimal","long.decimal","maincrop","maincrop.cereal","maincrop.legume","maincrop.cereallegume","maincrop.otherrowcrop","maincrop.perennial","number.of.crop.species.in.control","cover.crop.added","ccadded.grass","ccadded.legume","ccadded.grasslegume","ccadded.brassica","ccadded.grassbrassica","ccadded.legumebrassica","ccadded.grasslegumebrassica","total.C.inputs.cover.crops..Mg.ha.1.yr.1.","bg.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.fallow..Mg.ha.1.yr.1.","ccseason","ccseason.spring","ccseason.summer","ccseason.fall","ccseason.winter","ccseason.yearround","number.crop.species.added","duration..yr.","reps","tillage","tillage.conventional","tillage.reducednotill","N.fertilization.rate..kg.ha.1.yr.1.","N.type","residue.removal....","logRR.type","logRR","percent.change","var","Further.notes","Further.notes.2","Temp","Prec","depth","maincrop.category","cropping.system","cover.crop.category","cover.crop","sand","silt","clay","toc","ph","species.added","ag.C.inputs","duration","nfert","StudyNum"
"950",950,"Nasc",825,"10.1016/j.still.2013.02.008","other solution",0,1,0,0,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",14,16.2,1.529926254,1.770343237,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,0,0,0,NA,0,0,0,0,0,0,"0-20",NA,NA,NA,1.04,6.25,"water","fall",0,0,1,0,"Santo Antonio de Goias",-16.45,-49.28333333,"rice",1,0,0,0,0,1,"Brachiaria ruziziensis",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,2,3,"reduced or no-till",0,1,55,"organic",NA,"gkg",0.146,16,0.0079615,"","",22.8,1442,"surface","cereal","cereal","grass","grass",NA,NA,NA,1.04,6.25,1,NA,2,55,2
"953",953,"deCa",322,"10.1590/S0100-06832011000300016","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",18.19548872,21.07086614,1.988411135,2.302633664,1,1.33,1.27,12.1,13.38,NA,NA,NA,5,10,"surface",1,0,0,0,0,0,"Oxisols",0,0,0,1,0,0,"0-20",NA,NA,NA,NA,4.5,"water","fall",0,0,1,0,"FUNDACEP",-28.6,-53.66666667,"wheat, soybean",0,0,1,0,0,2,"oat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,19,3,"reduced or no-till",0,1,60,NA,NA,"gkg",0.147,16,0.0079615,"","",19.3,1752,"surface","cereal+legume","cereal+legume","grass","grass",NA,NA,NA,NA,4.5,1,NA,19,60,6
"956",956,"Conc",274,"10.1016/j.still.2013.01.006","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",7.375,8.5625,0.8059432944,0.9357138249,1,1.6,1.6,11.8,13.7,NA,NA,NA,10,20,"subsoil",0,1,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Eldorado do Sul",-31.4194444,-52.40555556,"corn",1,0,0,0,0,1,"vetch, cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"conventional",1,0,0,NA,NA,"gkg",0.149,16,0.0079615,"","",17.8,1428,"subsoil","cereal","cereal","legume","legume",54,24,22,NA,NA,2,NA,18,0,46
"957",957,"Ball",31,"10.1016/j.geoderma.2020.114619","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Australia",0,0,1,0,0,0,"Australia","direct",1,0,"maom fraction",0,"MAOC",30.57,35.5,3.91,4.74,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,0,0,0,NA,0,0,0,0,0,0,NA,57.25,15,27.75,NA,7.1,"water","fall",0,0,1,0,"Eden Valley, Nuriootpa, Langhorne Creek and Waikerie",-34.5284444,139.2772222,"grapevine",0,0,0,0,1,1,"grass",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,3,16,NA,0,0,0.035,NA,NA,"gkg",0.15,16,0.0021367,"average of four sites in Australia","",15.2,394,"surface","perennial","perennial","grass","grass",57.25,15,27.75,NA,7.1,1,NA,3,0.035,52
"972",972,"Thap",1124,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAON",0.5838888889,0.6822222222,0.0638076386,0.07455354919,1,1.2,1.2,1.051,1.228,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"pea,oats",0,0,1,0,0,0,0,NA,NA,1.001475,NA,"spring and winter",1,0,0,1,0,2,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.156,17,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","grass+legume","grass+legume",43.7,21.5,34.8,0.84,8,2,1.001475,4,70,3
"975",975,"Duva",402,"10.1016/j.still.2016.04.006","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","indirect",0,1,"maom fraction",0,"MAOC",14.8,17.3,1.617350611,1.890551728,1,1.33,1.33,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,0,0,0,"Mollisols",0,0,1,0,0,0,"0-25",10.2,69.9,19.9,1.66,NA,NA,NA,0,0,0,0,"Santa Fe",-32.9558333,-61.305,"soybean",0,1,0,0,0,1,"oat",1,0,0,0,0,0,0,NA,NA,3.27,NA,"winter",0,0,0,1,0,1,5,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.156,17,0.0079615,"wheat and oat fertilized with 51 kg N ha-1 as urea","",16.8,927,"surface","legume","legume","grass","grass",10.2,69.9,19.9,1.66,NA,1,3.27,5,0,28
"978",978,"Thap",1100,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAOC",5.597777778,6.554444444,0.6117276561,0.7162726168,1,1.2,1.2,10.076,11.798,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"pea",0,1,0,0,0,0,0,NA,NA,0.8227125,NA,"spring and winter",1,0,0,1,0,1,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.158,17,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","legume","legume",43.7,21.5,34.8,0.84,8,1,0.8227125,4,70,3
"985",985,"Wies",1269,"10.5194/se-6-609-2015","sonication",0,0,0,1,0,"density",0,1,0,"Europe",0,0,0,1,0,0,"Moldova","direct",1,0,"maom fraction",1,"MAON",2.3,2.7,0.1264911064,0.2213594362,NA,1.2709677,1.08,NA,NA,NA,NA,NA,0,12,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-20",7.85,55.5,36.65,NA,6.6,"water","fall",0,0,1,0,"Cahul",45.85,28.31666667,"corn",1,0,0,0,0,1,"hairy vetch,wheat",0,0,1,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,10,"conventional",1,0,34,NA,NA,"gkg",0.16,17,0.0009746,"","",10.3,496,"upper profile","cereal","cereal","grass+legume","grass+legume",7.85,55.5,36.65,NA,6.6,1,NA,1,34,40
"992",992,"deOl",351,"10.1590/18069657rbcs20150105","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",8.04,9.48,0.8786147915,1.035978635,1,1.66,1.66,NA,NA,NA,NA,NA,10,20,"subsoil",0,1,0,0,0,0,"Oxisols",0,0,0,1,0,0,"0-20",90,1.65,8.35,NA,5.85,"water","spring",1,0,0,0,"Rio Real",-11.4644444,-37.93638889,"orange tree",0,0,0,0,1,1,"brachiaria",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"conventional",1,0,NA,NA,NA,"gkg",0.165,18,0.0079615,"","",24.1,946,"subsoil","perennial","perennial","grass","grass",90,1.65,8.35,NA,5.85,1,NA,1,NA,10
"993",993,"deOl",354,"10.1590/18069657rbcs20150105","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",8.04,9.48,0.8786147915,1.035978635,1,1.66,1.66,NA,NA,NA,NA,NA,10,20,"subsoil",0,1,0,0,0,0,"Oxisols",0,0,0,1,0,0,"0-20",90,1.65,8.35,NA,5.85,"water","spring",1,0,0,0,"Rio Real",-11.4644444,-37.93638889,"orange tree",0,0,0,0,1,1,"jack bean, millet",0,0,1,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,2,1,3,"conventional",1,0,NA,NA,NA,"gkg",0.165,18,0.0079615,"","",24.1,946,"subsoil","perennial","perennial","grass+legume","grass+legume",90,1.65,8.35,NA,5.85,2,NA,1,NA,10
