"","X","StudyID","Obs.ID","DOI","DispersingAgent","DispersingAgent.SodiumHex","DispersingAgent.OtherSolution","DispersingAgent.GlassBeads","DispersingAgent.Sonication","DispersingAgent.Combo","FractionationMethod","FractionationMethod.Size","FractionationMethod.Density","FractionationMethod.SizeAndDensity","Continent","Continent.Africa","Continent.Asia","Continent.Australia","Continent.Europe","Continent.NorthAmerica","Continent.SouthAmerica","country","ResponseCalc","ResponseCalc.Direct","ResponseCalc.Indirect","rv.type","summed","rv","mean.control.in.g.kg.1","mean.treatment.in.g.kg.1","sd.control.in.g.kg..1","sd.treatment.in.g.kg.1","sd.imputed.in.g.kg.1","control.BD..Mg.m.3.","treat.BD..Mg.m.3.","mean.control.in.Mg.ha.1","mean.treatment.in.Mg.ha.1","sd.control.in.Mg.ha.1","sd.treatment.in.Mg.ha.1","sd.imputed.in.Mg.ha.1","depth.upper.limit..cm.","depth.lower.limit..cm.","depth.type","depth.surface","depth.subsoil","depth.deepsoil","depth.upperprofile","depth.lowerprofile","depth.wholeprofile","soilorder","soilorder.Alfisols","soilorder.Inceptisols","soilorder.Mollisols","soilorder.Oxisols","soilorder.Spodosols","soilorder.Ultisols","Baseline.depth..cm.","Baseline...sand","Baseline...silt","Baseline...clay","Baseline.TOC..","Baseline.pH","pH.method","SoilCollectionSeason","SoilCollectionSeason.spring","SoilCollectionSeason.summer","SoilCollectionSeason.fall","SoilCollectionSeason.winter","location.name","lat.decimal","long.decimal","maincrop","maincrop.cereal","maincrop.legume","maincrop.cereallegume","maincrop.otherrowcrop","maincrop.perennial","number.of.crop.species.in.control","cover.crop.added","ccadded.grass","ccadded.legume","ccadded.grasslegume","ccadded.brassica","ccadded.grassbrassica","ccadded.legumebrassica","ccadded.grasslegumebrassica","total.C.inputs.cover.crops..Mg.ha.1.yr.1.","bg.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.fallow..Mg.ha.1.yr.1.","ccseason","ccseason.spring","ccseason.summer","ccseason.fall","ccseason.winter","ccseason.yearround","number.crop.species.added","duration..yr.","reps","tillage","tillage.conventional","tillage.reducednotill","N.fertilization.rate..kg.ha.1.yr.1.","N.type","residue.removal....","logRR.type","logRR","percent.change","var","Further.notes","Further.notes.2","Temp","Prec","depth","maincrop.category","cropping.system","cover.crop.category","cover.crop","sand","silt","clay","toc","ph","species.added","ag.C.inputs","duration","nfert","StudyNum"
"999",999,"Fras",442,"10.1016/j.gecco.2016.03.009",NA,0,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","indirect",0,1,"maom fraction",0,"MAOC",15.23611111,18.01388889,1.665009028,1.968565825,1,1.2,1.2,10.97,12.97,NA,NA,NA,0,6,"surface",1,0,0,0,0,0,"Mollisols",0,0,1,0,0,0,NA,57,NA,NA,1.16,5.8,NA,"summer",0,1,0,0,"INTA Experimental Station at Anguil",-36.6105417,-63.98006111,"sorghum",1,0,0,0,0,1,"rye, vetch",0,0,1,0,0,0,0,NA,3.351,NA,NA,"winter",0,0,0,1,0,2,2,4,"reduced or no-till",0,1,0,NA,NA,"gkg",0.167,18,0.0059711,"","",15.4,634,"surface","cereal","cereal","grass+legume","grass+legume",57,NA,NA,1.16,5.8,2,NA,2,0,11
"1000",1000,"Land",696,"10.3232/SJSS.2020.V10.N2.03","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"maom fraction",0,"MAOC",10.4,12.3,1.136516646,1.344149494,1,NA,NA,NA,NA,NA,NA,NA,10,20,"subsoil",0,1,0,0,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,1.89,6.4,NA,"fall",0,0,1,0,"Marcos Juarez INTA Experimental Station",-32.7124028,-61.09613056,"soybean,corn",0,0,1,0,0,2,"common vetch",0,1,0,0,0,0,0,NA,NA,1.702035,NA,"winter",0,0,0,1,0,1,9,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.168,18,0.0079615,"","",17.1,963,"subsoil","cereal+legume","cereal+legume","legume","legume",NA,NA,NA,1.89,6.4,1,1.702035,9,0,18
"1015",1015,"Thap",1121,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAON",0.5838888889,0.6933333333,0.0638076386,0.07576777638,1,1.2,1.2,1.051,1.248,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"pea",0,1,0,0,0,0,0,NA,NA,0.8227125,NA,"spring and winter",1,0,0,1,0,1,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.172,19,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","legume","legume",43.7,21.5,34.8,0.84,8,1,0.8227125,4,70,3
"1023",1023,"Thap",1103,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAOC",5.597777778,6.676111111,0.6117276561,0.7295684044,1,1.2,1.2,10.076,12.017,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"pea,oats",0,0,1,0,0,0,0,NA,NA,1.001475,NA,"spring and winter",1,0,0,1,0,2,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.176,19,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","grass+legume","grass+legume",43.7,21.5,34.8,0.84,8,2,1.001475,4,70,3
"1027",1027,"Fras",441,"10.1016/j.gecco.2016.03.009",NA,0,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","indirect",0,1,"maom fraction",0,"MAOC",15.23611111,18.20833333,1.665009028,1.9898148,1,1.2,1.2,10.97,13.11,NA,NA,NA,0,6,"surface",1,0,0,0,0,0,"Mollisols",0,0,1,0,0,0,NA,57,NA,NA,1.16,5.8,NA,"summer",0,1,0,0,"INTA Experimental Station at Anguil",-36.6105417,-63.98006111,"sorghum",1,0,0,0,0,1,"vetch",0,1,0,0,0,0,0,NA,1.92,NA,NA,"winter",0,0,0,1,0,1,2,4,"reduced or no-till",0,1,0,NA,NA,"gkg",0.178,20,0.0059711,"","",15.4,634,"surface","cereal","cereal","legume","legume",57,NA,NA,1.16,5.8,1,NA,2,0,11
"1028",1028,"Duva",401,"10.1016/j.still.2016.04.006","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","indirect",0,1,"maom fraction",0,"MAOC",14.8,17.7,1.617350611,1.934263907,1,1.33,1.33,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,0,0,0,"Mollisols",0,0,1,0,0,0,"0-25",10.2,69.9,19.9,1.66,NA,NA,NA,0,0,0,0,"Santa Fe",-32.9558333,-61.305,"soybean",0,1,0,0,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,3.25,NA,"winter",0,0,0,1,0,1,5,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.179,20,0.0079615,"wheat and oat fertilized with 51 kg N ha-1 as urea","",16.8,927,"surface","legume","legume","grass","grass",10.2,69.9,19.9,1.66,NA,1,3.25,5,0,28
"1030",1030,"deOl",355,"10.1590/18069657rbcs20150105","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",9.12,10.92,0.9966376739,1.193342478,1,1.66,1.66,NA,NA,NA,NA,NA,20,40,"lower profile",0,0,0,0,1,0,"Oxisols",0,0,0,1,0,0,"0-20",90,1.65,8.35,NA,5.85,"water","spring",1,0,0,0,"Rio Real",-11.4644444,-37.93638889,"orange tree",0,0,0,0,1,1,"brachiaria",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"conventional",1,0,NA,NA,NA,"gkg",0.18,20,0.0079615,"","",24.1,946,"lower profile","perennial","perennial","grass","grass",90,1.65,8.35,NA,5.85,1,NA,1,NA,10
"1031",1031,"Guim",539,"10.1016/j.still.2020.104863","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",7.952602787,9.530723188,0.869063985,1.041521687,1,1.3366693,1.325188,21.26,25.26,NA,NA,NA,0,20,"upper profile",0,0,0,1,0,0,"Inceptisols",0,1,0,0,0,0,"0-20",40.75,19.5,39.75,1.06,5.35,NA,"winter",0,0,0,1,"Lavras",-21.2393889,-44.96905556,"olive",0,0,0,0,1,1,"pearl millet, brown hemp",0,0,1,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,2,3,3,NA,0,0,31.26,"inorganic",NA,"gkg",0.181,20,0.0079615,"","",20,1519,"upper profile","perennial","perennial","grass+legume","grass+legume",40.75,19.5,39.75,1.06,5.35,2,NA,3,31.26,56
"1033",1033,"Thap",1127,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAON",0.5838888889,0.7,0.0638076386,0.07649631269,1,1.2,1.2,1.051,1.26,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"pea,oats,canola,hairy vetch,forage radish,barley",0,0,0,0,0,0,1,NA,NA,1.0614375,NA,"spring and winter",1,0,0,1,0,6,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.181,20,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","grass+legume+brassica","grass+legume+brassica",43.7,21.5,34.8,0.84,8,6,1.0614375,4,70,3
"1034",1034,"Baye01",59,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAON",0.9714285714,1.164749536,0.1061581482,0.1272843496,1,1.42,1.54,2.414,3.139,NA,NA,NA,0,17.5,"upper profile",0,0,0,1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"oat, vetch, cowpea",0,0,1,0,0,0,0,NA,NA,5.14,0.47,"winter and summer",0,1,0,1,0,3,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.181,20,0.0079615,"","",18.9,1372,"upper profile","cereal","cereal","grass+legume","grass+legume",54,24,22,NA,NA,3,5.14,12,NA,47
"1039",1039,"Nasc",824,"10.1016/j.still.2013.02.008","other solution",0,1,0,0,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",14,16.8,1.529926254,1.835911505,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,0,0,0,NA,0,0,0,0,0,0,"0-20",NA,NA,NA,1.04,6.25,"water","fall",0,0,1,0,"Santo Antonio de Goias",-16.45,-49.28333333,"rice",1,0,0,0,0,1,"Panicum maximum",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,2,3,"reduced or no-till",0,1,55,"organic",NA,"gkg",0.182,20,0.0079615,"","",22.8,1442,"surface","cereal","cereal","grass","grass",NA,NA,NA,1.04,6.25,1,NA,2,55,2
"1042",1042,"Thap",1106,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAOC",5.597777778,6.717777778,0.6117276561,0.7341217564,1,1.2,1.2,10.076,12.092,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"pea,oats,canola,hairy vetch,forage radish,barley",0,0,0,0,0,0,1,NA,NA,1.0614375,NA,"spring and winter",1,0,0,1,0,6,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.182,20,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","grass+legume+brassica","grass+legume+brassica",43.7,21.5,34.8,0.84,8,6,1.0614375,4,70,3
"1045",1045,"Baye01",51,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",10.86519115,13.06122449,1.187352942,1.427336447,1,1.42,1.54,27,35.2,NA,NA,NA,0,17.5,"upper profile",0,0,0,1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"oat, vetch, cowpea",0,0,1,0,0,0,0,NA,NA,5.14,0.47,"winter and summer",0,1,0,1,0,3,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.184,20,0.0079615,"","",18.9,1372,"upper profile","cereal","cereal","grass+legume","grass+legume",54,24,22,NA,NA,3,5.14,12,NA,47
"1046",1046,"Conc",269,"10.1016/j.still.2013.01.006","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",10.34965035,12.44755245,1.131014413,1.360274092,1,1.43,1.43,7.4,8.9,NA,NA,NA,0,5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Eldorado do Sul",-31.4194444,-52.40555556,"corn",1,0,0,0,0,1,"vetch, cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.185,20,0.0079615,"","",17.8,1428,"surface","cereal","cereal","legume","legume",54,24,22,NA,NA,2,NA,18,0,46
"1049",1049,"Belt21",185,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"maom fraction",0,"MAOC",NA,NA,NA,NA,NA,NA,NA,7.348,8.841,0.9069401337,1.091216348,1,10,20,"subsoil",0,1,0,0,0,0,"Mollisols",0,0,1,0,0,0,NA,8.3,70.8,20.9,NA,6,"water","spring",1,0,0,0,"Oliveros fine-textured soil with low temperature and rainfall",-32.5333333,-60.86666667,"soybean",0,1,0,0,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,1.58,NA,"winter",0,0,0,1,0,1,8,3,"reduced or no-till",0,1,NA,NA,NA,"mgha",0.185,20,0.0101561,"","",17.4,993,"subsoil","legume","legume","grass","grass",8.3,70.8,20.9,NA,6,1,1.58,8,NA,16
"1050",1050,"Conc",273,"10.1016/j.still.2013.01.006","sonication",0,0,0,1,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","indirect",0,1,"maom fraction",0,"MAOC",7.065868263,8.502994012,0.7721612402,0.9292109839,1,1.67,1.67,5.9,7.1,NA,NA,NA,5,10,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Eldorado do Sul",-31.4194444,-52.40555556,"corn",1,0,0,0,0,1,"vetch, cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,18,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.185,20,0.0079615,"","",17.8,1428,"surface","cereal","cereal","legume","legume",54,24,22,NA,NA,2,NA,18,0,46
"1089",1089,"Nasc",842,"10.1016/j.still.2013.02.008","other solution",0,1,0,0,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",12.8,15.8,1.398789718,1.726631058,1,NA,NA,NA,NA,NA,NA,NA,10,20,"subsoil",0,1,0,0,0,0,NA,0,0,0,0,0,0,"0-20",NA,NA,NA,1.04,6.25,"water","fall",0,0,1,0,"Santo Antonio de Goias",-16.45,-49.28333333,"rice",1,0,0,0,0,1,"millet",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,2,3,"reduced or no-till",0,1,55,"organic",NA,"gkg",0.211,23,0.0079615,"","",22.8,1442,"subsoil","cereal","cereal","grass","grass",NA,NA,NA,1.04,6.25,1,NA,2,55,2
"1096",1096,"Thap",1105,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAOC",5.597777778,6.915555556,0.6117276561,0.7557350003,1,1.2,1.2,10.076,12.448,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"pea,oats,canola",0,0,0,0,0,0,1,NA,NA,0.97965,NA,"spring and winter",1,0,0,1,0,3,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.211,24,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","grass+legume+brassica","grass+legume+brassica",43.7,21.5,34.8,0.84,8,3,0.97965,4,70,3
"1106",1106,"Baye01",53,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",11.69014085,14.54545455,1.277503814,1.58953377,1,1.42,1.54,8.3,11.2,NA,NA,NA,2.5,7.5,"surface",1,0,0,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"oat, vetch, cowpea",0,0,1,0,0,0,0,NA,NA,5.14,0.47,"winter and summer",0,1,0,1,0,3,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.219,24,0.0079615,"","",18.9,1372,"surface","cereal","cereal","grass+legume","grass+legume",54,24,22,NA,NA,3,5.14,12,NA,47
"1107",1107,"Thap",1104,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAOC",5.597777778,6.973333333,0.6117276561,0.7620489817,1,1.2,1.2,10.076,12.552,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"pea,canola",0,0,0,0,0,1,0,NA,NA,1.2963375,NA,"spring and winter",1,0,0,1,0,2,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.22,25,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","legume+brassica","legume+brassica",43.7,21.5,34.8,0.84,8,2,1.2963375,4,70,3
"1121",1121,"Nasc",832,"10.1016/j.still.2013.02.008","other solution",0,1,0,0,0,"density",0,1,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",13.3,16.7,1.453429941,1.82498346,1,NA,NA,NA,NA,NA,NA,NA,0,20,"upper profile",0,0,0,1,0,0,NA,0,0,0,0,0,0,"0-20",NA,NA,NA,1.04,6.25,"water","fall",0,0,1,0,"Santo Antonio de Goias",-16.45,-49.28333333,"rice",1,0,0,0,0,1,"millet",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,2,3,"reduced or no-till",0,1,55,"organic",NA,"gkg",0.228,26,0.0079615,"","",22.8,1442,"upper profile","cereal","cereal","grass","grass",NA,NA,NA,1.04,6.25,1,NA,2,55,2
"1126",1126,"Ball",36,"10.1016/j.geoderma.2020.114619","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Australia",0,0,1,0,0,0,"Australia","direct",1,0,"maom fraction",0,"MAON",2.67,3.37,0.56,0.39,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,0,0,0,NA,0,0,0,0,0,0,NA,57.25,15,27.75,NA,7.1,"water","fall",0,0,1,0,"Eden Valley, Nuriootpa, Langhorne Creek and Waikerie",-34.5284444,139.2772222,"grapevine",0,0,0,0,1,1,"grass, legume",0,0,1,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,3,16,NA,0,0,0.035,NA,NA,"gkg",0.233,26,0.0035864,"average of four sites in Australia","",15.2,394,"surface","perennial","perennial","grass+legume","grass+legume",57.25,15,27.75,NA,7.1,1,NA,3,0.035,52
"1132",1132,"Thap",1125,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAON",0.5838888889,0.7377777778,0.0638076386,0.08062468512,1,1.2,1.2,1.051,1.328,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"pea,canola",0,0,0,0,0,1,0,NA,NA,1.2963375,NA,"spring and winter",1,0,0,1,0,2,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.234,26,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","legume+brassica","legume+brassica",43.7,21.5,34.8,0.84,8,2,1.2963375,4,70,3
"1135",1135,"Thap",1122,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAON",0.5838888889,0.7427777778,0.0638076386,0.08117108735,1,1.2,1.2,1.051,1.337,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"oats",1,0,0,0,0,0,0,NA,NA,0.957825,NA,"spring and winter",1,0,0,1,0,1,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.241,27,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","grass","grass",43.7,21.5,34.8,0.84,8,1,0.957825,4,70,3
"1137",1137,"Thap",1101,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAOC",5.597777778,7.148888889,0.6117276561,0.7812337712,1,1.2,1.2,10.076,12.868,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"oats",1,0,0,0,0,0,0,NA,NA,0.957825,NA,"spring and winter",1,0,0,1,0,1,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.245,28,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","grass","grass",43.7,21.5,34.8,0.84,8,1,0.957825,4,70,3
"1138",1138,"Thap",1126,"10.1016/j.geoderma.2021.115497","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","indirect",0,1,"maom fraction",0,"MAON",0.5838888889,0.7461111111,0.0638076386,0.08153535551,1,1.2,1.2,1.051,1.343,NA,NA,NA,0,15,"upper profile",0,0,0,1,0,0,"Mollisols",0,0,1,0,0,0,"0-15",43.7,21.5,34.8,0.84,8,NA,"spring",1,0,0,0,"New Mexico State University Agricultural Science Center",34.5833333,-103.2,"winter wheat,sorghum",1,0,0,0,0,2,"pea,oats,canola",0,0,0,0,0,0,1,NA,NA,0.97965,NA,"spring and winter",1,0,0,1,0,3,4,3,"reduced or no-till",0,1,70,NA,NA,"gkg",0.245,28,0.0079615,"soils collected at cover crop termination","",13.6,401,"upper profile","cereal","cereal","grass+legume+brassica","grass+legume+brassica",43.7,21.5,34.8,0.84,8,3,0.97965,4,70,3
"1147",1147,"Ball",34,"10.1016/j.geoderma.2020.114619","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Australia",0,0,1,0,0,0,"Australia","direct",1,0,"maom fraction",0,"MAON",2.67,3.45,0.56,0.38,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,0,0,0,NA,0,0,0,0,0,0,NA,57.25,15,27.75,NA,7.1,"water","fall",0,0,1,0,"Eden Valley, Nuriootpa, Langhorne Creek and Waikerie",-34.5284444,139.2772222,"grapevine",0,0,0,0,1,1,"grass",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,3,16,NA,0,0,0.035,NA,NA,"gkg",0.256,29,0.0035076,"average of four sites in Australia","",15.2,394,"surface","perennial","perennial","grass","grass",57.25,15,27.75,NA,7.1,1,NA,3,0.035,52
"1148",1148,"Baye01",56,"10.2136/sssaj2001.6551473x","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"maom fraction",0,"MAOC",10.07042254,13.02158273,1.100500273,1.423004378,1,1.42,1.39,14.3,18.1,NA,NA,NA,7.5,17.5,"upper profile",0,0,0,1,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Experimental Station of the Feteral University of Rio Grande do Sul",-30.8477778,-51.63555556,"corn",1,0,0,0,0,1,"cajanus",0,1,0,0,0,0,0,NA,NA,5.8,0.47,"year-round",0,0,0,0,1,1,12,3,"reduced or no-till",0,1,NA,NA,NA,"gkg",0.257,29,0.0079615,"","",18.9,1372,"upper profile","cereal","cereal","legume","legume",54,24,22,NA,NA,1,5.8,12,NA,47
