"","X.1","X","StudyID","Obs.ID","DOI","DispersingAgent","DispersingAgent.SodiumHex","DispersingAgent.OtherSolution","DispersingAgent.GlassBeads","DispersingAgent.Sonication","DispersingAgent.Combo","FractionationMethod","FractionationMethod.Size","FractionationMethod.Density","FractionationMethod.SizeAndDensity","Continent","Continent.Africa","Continent.Asia","Continent.Australia","Continent.Europe","Continent.NorthAmerica","Continent.SouthAmerica","country","ResponseCalc","ResponseCalc.Direct","ResponseCalc.Indirect","rv.type","summed","rv","mean.control.in.g.kg.1","mean.treatment.in.g.kg.1","sd.control.in.g.kg..1","sd.treatment.in.g.kg.1","sd.imputed.in.g.kg.1","control.BD..Mg.m.3.","treat.BD..Mg.m.3.","mean.control.in.Mg.ha.1","mean.treatment.in.Mg.ha.1","sd.control.in.Mg.ha.1","sd.treatment.in.Mg.ha.1","sd.imputed.in.Mg.ha.1","depth.upper.limit..cm.","depth.lower.limit..cm.","depth.type","depth.surface","depth.subsoil","depth.deepsoil","soilorder","soilorder.Alfisols","soilorder.Inceptisols","soilorder.Mollisols","soilorder.Oxisols","soilorder.Spodosols","soilorder.Ultisols","Baseline.depth..cm.","Baseline...sand","Baseline...silt","Baseline...clay","Baseline.TOC..","Baseline.pH","pH.method","SoilCollectionSeason","SoilCollectionSeason.spring","SoilCollectionSeason.summer","SoilCollectionSeason.fall","SoilCollectionSeason.winter","location.name","lat.decimal","long.decimal","maincrop","maincrop.cereal","maincrop.legume","maincrop.cereallegume","maincrop.otherrowcrop","maincrop.perennial","number.of.crop.species.in.control","cover.crop.added","ccadded.grass","ccadded.legume","ccadded.grasslegume","ccadded.brassica","ccadded.grassbrassica","ccadded.legumebrassica","ccadded.grasslegumebrassica","total.C.inputs.cover.crops..Mg.ha.1.yr.1.","bg.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.fallow..Mg.ha.1.yr.1.","ccseason","ccseason.spring","ccseason.summer","ccseason.fall","ccseason.winter","ccseason.yearround","number.crop.species.added","duration..yr.","reps","tillage","tillage.conventional","tillage.reducednotill","N.fertilization.rate..kg.ha.1.yr.1.","N.type","residue.removal....","logRR.type","logRR","percent.change","var","Further.notes","Further.notes.2","Temp","Prec","comp","depth","maincrop.category","cropping.system","cover.crop.category","cover.crop","sand","silt","clay","toc","ph","species.added","ag.C.inputs","duration","nfert","StudyNum"
"115",137,156,"Wegn",1242,"10.1007/s12155-017-9891-y","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",1,"POM",9.74,9.55,0.5321957754,0.521814133,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"summer",0,1,0,0,"North Central Agricultural Research Laboratory",44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",2,7,3,"reduced or no-till",0,1,NA,NA,37,"gkg",-0.02,-2,0.0019904,"soybean phase (9 mo after rr)","",6.1,588,"cc vs. fallow","surface","cereal+legume","cereal+legume","legume","legume",NA,NA,NA,NA,NA,2,NA,7,NA,28
"116",138,157,"Wegn",1243,"10.1007/s12155-017-9891-y","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",1,"POM",7.51,7.18,0.4103480774,0.3923168037,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"summer",0,1,0,0,"North Central Agricultural Research Laboratory",44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",2,7,3,"reduced or no-till",0,1,NA,NA,55,"gkg",-0.045,-4,0.0019904,"soybean phase (9 mo after rr)","",6.1,588,"cc vs. fallow","surface","cereal+legume","cereal+legume","legume","legume",NA,NA,NA,NA,NA,2,NA,7,NA,28
"117",139,158,"Wegn",1244,"10.1007/s12155-017-9891-y","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",1,"POM",7.59,5.82,0.4147192952,0.3180060999,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"summer",0,1,0,0,"North Central Agricultural Research Laboratory",44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",2,7,3,"reduced or no-till",0,1,NA,NA,98,"gkg",-0.266,-23,0.0019904,"soybean phase (9 mo after rr)","",6.1,588,"cc vs. fallow","surface","cereal+legume","cereal+legume","legume","legume",NA,NA,NA,NA,NA,2,NA,7,NA,28
"118",140,159,"Wegn",1245,"10.1007/s12155-017-9891-y","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",1,"POM",8.42,8.44,0.4600706806,0.4611634851,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"summer",0,1,0,0,"North Central Agricultural Research Laboratory",44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",2,7,3,"reduced or no-till",0,1,NA,NA,37,"gkg",0.002,0,0.0019904,"corn phase (21 mo after rr)","",6.1,588,"cc vs. fallow","surface","cereal+legume","cereal+legume","legume","legume",NA,NA,NA,NA,NA,2,NA,7,NA,28
"119",141,160,"Wegn",1246,"10.1007/s12155-017-9891-y","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",1,"POM",7.73,6.88,0.4223689265,0.3759247366,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"summer",0,1,0,0,"North Central Agricultural Research Laboratory",44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",2,7,3,"reduced or no-till",0,1,NA,NA,55,"gkg",-0.116,-11,0.0019904,"corn phase (21 mo after rr)","",6.1,588,"cc vs. fallow","surface","cereal+legume","cereal+legume","legume","legume",NA,NA,NA,NA,NA,2,NA,7,NA,28
"120",142,161,"Wegn",1247,"10.1007/s12155-017-9891-y","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",1,"POM",7.19,7.05,0.3928632059,0.3852135746,1,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Ultisols",0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,"summer",0,1,0,0,"North Central Agricultural Research Laboratory",44.339746,-96.789566,"corn,soybean",0,0,1,0,0,2,"winter lentils,slender wheatgrasss",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",2,7,3,"reduced or no-till",0,1,NA,NA,98,"gkg",-0.02,-2,0.0019904,"corn phase (21 mo after rr)","",6.1,588,"cc vs. fallow","surface","cereal+legume","cereal+legume","legume","legume",NA,NA,NA,NA,NA,2,NA,7,NA,28
"193",220,276,"Fras",461,"10.1016/j.gecco.2016.03.009",NA,0,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",0,"POC",5.541666667,5.430555556,0.6055958088,0.5934535369,1,1.2,1.2,3.99,3.91,NA,NA,NA,0,6,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,57,NA,NA,1.16,5.8,NA,"summer",0,1,0,0,"INTA Experimental Station at Anguil",-36.6105417,-63.98006111,"sorghum",1,0,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,2.8185,NA,NA,"winter","0","0",0,"1","0",1,0.5,4,"reduced or no-till",0,1,0,NA,NA,"gkg",-0.02,-2,0.0059711,"","",15.4,634,"cc vs. fallow","surface","cereal","cereal","grass","grass",57,NA,NA,1.16,5.8,1,NA,0.5,0,29
"194",221,277,"Fras",462,"10.1016/j.gecco.2016.03.009",NA,0,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",0,"POC",5.541666667,4.736111111,0.6055958088,0.5175643378,1,1.2,1.2,3.99,3.41,NA,NA,NA,0,6,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,57,NA,NA,1.16,5.8,NA,"summer",0,1,0,0,"INTA Experimental Station at Anguil",-36.6105417,-63.98006111,"sorghum",1,0,0,0,0,1,"vetch",0,1,0,0,0,0,0,NA,1.92,NA,NA,"winter","0","0",0,"1","0",1,0.5,4,"reduced or no-till",0,1,0,NA,NA,"gkg",-0.157,-15,0.0059711,"","",15.4,634,"cc vs. fallow","surface","cereal","cereal","legume","legume",57,NA,NA,1.16,5.8,1,NA,0.5,0,29
"195",222,278,"Fras",463,"10.1016/j.gecco.2016.03.009",NA,0,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",0,"POC",5.541666667,5,0.6055958088,0.5464022335,1,1.2,1.2,3.99,3.6,NA,NA,NA,0,6,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,57,NA,NA,1.16,5.8,NA,"summer",0,1,0,0,"INTA Experimental Station at Anguil",-36.6105417,-63.98006111,"sorghum",1,0,0,0,0,1,"rye, vetch",0,0,1,0,0,0,0,NA,3.351,NA,NA,"winter","0","0",0,"1","0",2,0.5,4,"reduced or no-till",0,1,0,NA,NA,"gkg",-0.103,-10,0.0059711,"","",15.4,634,"cc vs. fallow","surface","cereal","cereal","grass+legume","grass+legume",57,NA,NA,1.16,5.8,2,NA,0.5,0,29
"196",223,279,"Fras",464,"10.1016/j.gecco.2016.03.009",NA,0,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",0,"POC",4,4.666666667,0.4371217868,0.5099754179,1,1.2,1.2,2.88,3.36,NA,NA,NA,0,6,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,57,NA,NA,1.16,5.8,NA,"summer",0,1,0,0,"INTA Experimental Station at Anguil",-36.6105417,-63.98006111,"sorghum",1,0,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,2.8185,NA,NA,"winter","0","0",0,"1","0",1,2,4,"reduced or no-till",0,1,0,NA,NA,"gkg",0.154,17,0.0059711,"","",15.4,634,"cc vs. fallow","surface","cereal","cereal","grass","grass",57,NA,NA,1.16,5.8,1,NA,2,0,29
"197",224,280,"Fras",465,"10.1016/j.gecco.2016.03.009",NA,0,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",0,"POC",4,5.236111111,0.4371217868,0.5722045612,1,1.2,1.2,2.88,3.77,NA,NA,NA,0,6,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,57,NA,NA,1.16,5.8,NA,"summer",0,1,0,0,"INTA Experimental Station at Anguil",-36.6105417,-63.98006111,"sorghum",1,0,0,0,0,1,"vetch",0,1,0,0,0,0,0,NA,1.92,NA,NA,"winter","0","0",0,"1","0",1,2,4,"reduced or no-till",0,1,0,NA,NA,"gkg",0.269,31,0.0059711,"","",15.4,634,"cc vs. fallow","surface","cereal","cereal","legume","legume",57,NA,NA,1.16,5.8,1,NA,2,0,29
"198",225,281,"Fras",466,"10.1016/j.gecco.2016.03.009",NA,0,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",0,"POC",4,4.527777778,0.4371217868,0.4947975781,1,1.2,1.2,2.88,3.26,NA,NA,NA,0,6,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,57,NA,NA,1.16,5.8,NA,"summer",0,1,0,0,"INTA Experimental Station at Anguil",-36.6105417,-63.98006111,"sorghum",1,0,0,0,0,1,"rye, vetch",0,0,1,0,0,0,0,NA,3.351,NA,NA,"winter","0","0",0,"1","0",2,2,4,"reduced or no-till",0,1,0,NA,NA,"gkg",0.124,13,0.0059711,"","",15.4,634,"cc vs. fallow","surface","cereal","cereal","grass+legume","grass+legume",57,NA,NA,1.16,5.8,2,NA,2,0,29
"221",248,325,"Ball",37,"10.1016/j.geoderma.2020.114619","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Australia",0,0,1,0,0,0,"Australia","direct",1,0,"pom fraction",0,"POC",5.36,7.42,1.01,1.43,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,NA,0,0,0,0,0,0,NA,57.25,15,27.75,NA,7.1,"water","fall",0,0,1,0,"Eden Valley, Nuriootpa, Langhorne Creek and Waikerie",-34.5284444,139.2772222,"grapevine",0,0,0,0,1,1,"grass",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round","0","0",0,"0","1",1,3,16,NA,0,0,0.035,NA,NA,"gkg",0.325,38,0.0045406,"average of four sites in Australia","",15.2,394,"cc vs. fallow","surface","perennial","perennial","grass","grass",57.25,15,27.75,NA,7.1,1,NA,3,0.035,30
"222",249,326,"Ball",38,"10.1016/j.geoderma.2020.114619","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Australia",0,0,1,0,0,0,"Australia","direct",1,0,"pom fraction",0,"POC",5.36,6.96,1.01,1.15,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,NA,0,0,0,0,0,0,NA,57.25,15,27.75,NA,7.1,"water","fall",0,0,1,0,"Eden Valley, Nuriootpa, Langhorne Creek and Waikerie",-34.5284444,139.2772222,"grapevine",0,0,0,0,1,1,"legume",0,1,0,0,0,0,0,NA,3.3,NA,NA,"year-round","0","0",0,"0","1",1,3,16,NA,0,0,0.035,NA,NA,"gkg",0.261,30,0.0039255,"average of four sites in Australia","",15.2,394,"cc vs. fallow","surface","perennial","perennial","legume","legume",57.25,15,27.75,NA,7.1,1,NA,3,0.035,30
"223",250,327,"Ball",39,"10.1016/j.geoderma.2020.114619","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Australia",0,0,1,0,0,0,"Australia","direct",1,0,"pom fraction",0,"POC",5.36,9.36,1.01,1.86,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,NA,0,0,0,0,0,0,NA,57.25,15,27.75,NA,7.1,"water","fall",0,0,1,0,"Eden Valley, Nuriootpa, Langhorne Creek and Waikerie",-34.5284444,139.2772222,"grapevine",0,0,0,0,1,1,"grass, legume",0,0,1,0,0,0,0,NA,NA,NA,NA,"year-round","0","0",0,"0","1",1,3,16,NA,0,0,0.035,NA,NA,"gkg",0.557,75,0.0046872,"average of four sites in Australia","",15.2,394,"cc vs. fallow","surface","perennial","perennial","grass+legume","grass+legume",57.25,15,27.75,NA,7.1,1,NA,3,0.035,30
"224",251,328,"Beeh",144,"10.2489/jswc.72.3.272","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",5.36217,5.259531,0.746505074,0.746505074,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Mason and Kellogg",42.5779722,-84.44197222,"corn-soybean",0,0,1,0,0,2,"rye",1,0,0,0,0,0,0,NA,NA,0.0952178565,NA,"winter","0","0",0,"1","0",1,3,4,"conventional",1,0,NA,NA,NA,"gkg",-0.019,-2,0.0098816,"depression topography","",8.2,788,"cc vs. fallow","surface","cereal+legume","cereal+legume","grass","grass",NA,NA,NA,NA,NA,1,0.0952178565,3,NA,34
"225",252,329,"Beeh",145,"10.2489/jswc.72.3.272","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",4.1744866,4.9002934,0.7672431017,0.7050324127,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Mason and Kellogg",42.5779722,-84.44197222,"corn-soybean",0,0,1,0,0,2,"rye",1,0,0,0,0,0,0,NA,NA,0.158788225,NA,"winter","0","0",0,"1","0",1,3,4,"conventional",1,0,NA,NA,NA,"gkg",0.16,17,0.01362,"slope topography","",8.2,788,"cc vs. fallow","surface","cereal+legume","cereal+legume","grass","grass",NA,NA,NA,NA,NA,1,0.158788225,3,NA,34
"226",253,330,"Beeh",146,"10.2489/jswc.72.3.272","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",4.4164224,5.186217,0.8087140658,0.7465062053,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Mason and Kellogg",42.5779722,-84.44197222,"corn-soybean",0,0,1,0,0,2,"rye",1,0,0,0,0,0,0,NA,NA,0.1964981,NA,"winter","0","0",0,"1","0",1,3,4,"conventional",1,0,NA,NA,NA,"gkg",0.161,17,0.0135625,"summit topography","",8.2,788,"cc vs. fallow","surface","cereal+legume","cereal+legume","grass","grass",NA,NA,NA,NA,NA,1,0.1964981,3,NA,34
"227",254,331,"Cate",224,"10.1016/j.agee.2019.106649","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",4.27,4.99,0.7155417528,0.7155417528,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"Arlington Agricultural Research Station",43.2958333,-89.38,"maize",1,0,0,0,0,1,"bluegrass",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round","0","0",0,"0","1",1,3,5,"conventional",1,0,NA,NA,0,"gkg",0.156,17,0.0097287,"harvested for grain","",7.5,804,"cc vs. fallow","surface","cereal","cereal","grass","grass",NA,NA,NA,NA,NA,1,NA,3,NA,35
"228",255,332,"Cate",225,"10.1016/j.agee.2019.106649","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",4.27,4.03,0.7155417528,1.02859127,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"Arlington Agricultural Research Station",43.2958333,-89.38,"maize",1,0,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",1,3,5,"conventional",1,0,NA,NA,0,"gkg",-0.058,-6,0.0186451,"harvested for grain","",7.5,804,"cc vs. fallow","surface","cereal","cereal","grass","grass",NA,NA,NA,NA,NA,1,NA,3,NA,35
"229",256,333,"Cate",226,"10.1016/j.agee.2019.106649","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",3.35,3.78,0.6260990337,0.6260990337,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"Arlington Agricultural Research Station",43.2958333,-89.38,"maize",1,0,0,0,0,1,"bluegrass",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round","0","0",0,"0","1",1,3,5,"conventional",1,0,NA,NA,100,"gkg",0.121,13,0.0124729,"harvested for silage","",7.5,804,"cc vs. fallow","surface","cereal","cereal","grass","grass",NA,NA,NA,NA,NA,1,NA,3,NA,35
"230",257,334,"Cate",227,"10.1016/j.agee.2019.106649","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",3.35,3.6,0.6260990337,0.6037383539,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"Arlington Agricultural Research Station",43.2958333,-89.38,"maize",1,0,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",1,3,5,"conventional",1,0,NA,NA,100,"gkg",0.072,7,0.012611,"harvested for silage","",7.5,804,"cc vs. fallow","surface","cereal","cereal","grass","grass",NA,NA,NA,NA,NA,1,NA,3,NA,35
"231",258,335,"Chen",256,"10.1016/j.agee.2016.03.009","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"China","direct",1,0,"pom fraction",0,"POC",7.58,7.79,0.267735,0.391232,NA,1.17,1.16,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"China Rice Research Institute",30.3,120.2,"rice",1,0,0,0,0,1,"oilseed rape",0,0,0,1,0,0,0,2.55346,0.71146,1.842,NA,"winter","0","0",0,"1","0",1,11,3,"conventional",1,0,225,"organic",75,"gkg",0.027,3,0.0012566,"""most of the rice straw was removed after the harvest of
summer rice""","",16.8,1353,"cc vs. fallow","surface","cereal","cereal","brassica","brassica",NA,NA,NA,NA,NA,1,1.842,11,225,36
"232",259,336,"Chen",257,"10.1016/j.agee.2016.03.009","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"China","direct",1,0,"pom fraction",0,"POC",7.58,6.15,0.267735,0.6591104,NA,1.17,1.11,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"China Rice Research Institute",30.3,120.2,"rice",1,0,0,0,0,1,"wheat",1,0,0,0,0,0,0,4.06148,0.81448,3.247,NA,"winter","0","0",0,"1","0",1,11,3,"conventional",1,0,225,"organic",75,"gkg",-0.209,-19,0.0042445,"""most of the rice straw was removed after the harvest of
summer rice""","",16.8,1353,"cc vs. fallow","surface","cereal","cereal","grass","grass",NA,NA,NA,NA,NA,1,3.247,11,225,36
"233",260,337,"deOl",359,"10.1590/18069657rbcs20150105","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",1.73,2.03,0.1890551728,0.2218393068,1,1.48,1.48,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Oxisols",0,0,0,1,0,0,"0-20",90,1.65,8.35,NA,5.85,"water","spring",1,0,0,0,"Rio Real",-11.4644444,-37.93638889,"orange tree",0,0,0,0,1,1,"brachiaria",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",1,1,3,"conventional",1,0,NA,NA,NA,"gkg",0.16,17,0.0079615,"","",24.1,946,"cc vs. fallow","surface","perennial","perennial","grass","grass",90,1.65,8.35,NA,5.85,1,NA,1,NA,31
"234",261,338,"deOl",360,"10.1590/18069657rbcs20150105","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",1.73,1.76,0.1890551728,0.1923335862,1,1.48,1.48,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Oxisols",0,0,0,1,0,0,"0-20",90,1.65,8.35,NA,5.85,"water","spring",1,0,0,0,"Rio Real",-11.4644444,-37.93638889,"orange tree",0,0,0,0,1,1,"millet",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",1,1,3,"conventional",1,0,NA,NA,NA,"gkg",0.017,2,0.0079615,"","",24.1,946,"cc vs. fallow","surface","perennial","perennial","grass","grass",90,1.65,8.35,NA,5.85,1,NA,1,NA,31
"235",262,339,"deOl",361,"10.1590/18069657rbcs20150105","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",1.73,1.75,0.1890551728,0.1912407817,1,1.48,1.48,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Oxisols",0,0,0,1,0,0,"0-20",90,1.65,8.35,NA,5.85,"water","spring",1,0,0,0,"Rio Real",-11.4644444,-37.93638889,"orange tree",0,0,0,0,1,1,"jack bean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",1,1,3,"conventional",1,0,NA,NA,NA,"gkg",0.011,1,0.0079615,"","",24.1,946,"cc vs. fallow","surface","perennial","perennial","legume","legume",90,1.65,8.35,NA,5.85,1,NA,1,NA,31
"236",263,340,"deOl",362,"10.1590/18069657rbcs20150105","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",1.73,2.05,0.1890551728,0.2240249157,1,1.48,1.48,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Oxisols",0,0,0,1,0,0,"0-20",90,1.65,8.35,NA,5.85,"water","spring",1,0,0,0,"Rio Real",-11.4644444,-37.93638889,"orange tree",0,0,0,0,1,1,"jack bean, millet",0,0,1,0,0,0,0,NA,NA,NA,NA,"winter","0","0",0,"1","0",2,1,3,"conventional",1,0,NA,NA,NA,"gkg",0.17,18,0.0079615,"","",24.1,946,"cc vs. fallow","surface","perennial","perennial","grass+legume","grass+legume",90,1.65,8.35,NA,5.85,2,NA,1,NA,31
"237",264,341,"Garc18",525,"10.1016/j.scitotenv.2017.11.240","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Europe",0,0,0,1,0,0,"Spain","direct",1,0,"pom fraction",0,"POC",3.472084672,2.673095775,0.3794309639,0.2921171003,1,1.37,1.42,4.756756,3.795796,NA,NA,NA,0,10,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,NA,49,24.13,26.88,0.69,NA,NA,"summer",0,1,0,0,"Belmonte de Tajo",40.2552778,-3.335277778,"grapevine",0,0,0,0,1,1,"brachypodium",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round","0","0",0,"0","1",1,3,12,"reduced or no-till",0,1,NA,NA,NA,"gkg",-0.262,-23,0.0019904,"","",13.7,440,"cc vs. fallow","surface","perennial","perennial","grass","grass",49,24.13,26.88,0.69,NA,1,NA,3,NA,8
