"","datatype","numstud","numobs","averageduration","averagedepthmidpoint","averagenfert","averagecinputs"
"1","All",46,838,5.08595641646489,11.0811455847255,38.0337068965517,1.8561042774212
"2","POC",41,335,4.6797583081571,12.010447761194,40.6084146341463,2.05343013282667
"3","MAOC",22,177,5.35838150289017,9.72316384180791,31.8407798165138,2.1590356244186
"4","SOC",42,326,5.35714285714286,10.8634969325153,38.7414663461538,1.57354064963466
