"","X","StudyID","Obs.ID","DOI","DispersingAgent","DispersingAgent.SodiumHex","DispersingAgent.OtherSolution","DispersingAgent.GlassBeads","DispersingAgent.Sonication","DispersingAgent.Combo","FractionationMethod","FractionationMethod.Size","FractionationMethod.Density","FractionationMethod.SizeAndDensity","Continent","Continent.Africa","Continent.Asia","Continent.Australia","Continent.Europe","Continent.NorthAmerica","Continent.SouthAmerica","country","ResponseCalc","ResponseCalc.Direct","ResponseCalc.Indirect","rv.type","summed","rv","mean.control.in.g.kg.1","mean.treatment.in.g.kg.1","sd.control.in.g.kg..1","sd.treatment.in.g.kg.1","sd.imputed.in.g.kg.1","control.BD..Mg.m.3.","treat.BD..Mg.m.3.","mean.control.in.Mg.ha.1","mean.treatment.in.Mg.ha.1","sd.control.in.Mg.ha.1","sd.treatment.in.Mg.ha.1","sd.imputed.in.Mg.ha.1","depth.upper.limit..cm.","depth.lower.limit..cm.","depth.type","depth.surface","depth.subsoil","depth.deepsoil","soilorder","soilorder.Alfisols","soilorder.Inceptisols","soilorder.Mollisols","soilorder.Oxisols","soilorder.Spodosols","soilorder.Ultisols","Baseline.depth..cm.","Baseline...sand","Baseline...silt","Baseline...clay","Baseline.TOC..","Baseline.pH","pH.method","SoilCollectionSeason","SoilCollectionSeason.spring","SoilCollectionSeason.summer","SoilCollectionSeason.fall","SoilCollectionSeason.winter","location.name","lat.decimal","long.decimal","maincrop","maincrop.cereal","maincrop.legume","maincrop.cereallegume","maincrop.otherrowcrop","maincrop.perennial","number.of.crop.species.in.control","cover.crop.added","ccadded.grass","ccadded.legume","ccadded.grasslegume","ccadded.brassica","ccadded.grassbrassica","ccadded.legumebrassica","ccadded.grasslegumebrassica","total.C.inputs.cover.crops..Mg.ha.1.yr.1.","bg.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.fallow..Mg.ha.1.yr.1.","ccseason","ccseason.spring","ccseason.summer","ccseason.fall","ccseason.winter","ccseason.yearround","number.crop.species.added","duration..yr.","reps","tillage","tillage.conventional","tillage.reducednotill","N.fertilization.rate..kg.ha.1.yr.1.","N.type","residue.removal....","logRR.type","logRR","percent.change","var","Further.notes","Further.notes.2","Temp","Prec","depth","maincrop.category","cropping.system","cover.crop.category","cover.crop","sand","silt","clay","toc","ph","species.added","ag.C.inputs","duration","nfert","StudyNum"
"340",340,"deOl",362,"10.1590/18069657rbcs20150105","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",1.73,2.05,0.1890551728,0.2240249157,1,1.48,1.48,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Oxisols",0,0,0,1,0,0,"0-20",90,1.65,8.35,NA,5.85,"water","spring",1,0,0,0,"Rio Real",-11.4644444,-37.93638889,"orange tree",0,0,0,0,1,1,"jack bean, millet",0,0,1,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,2,1,3,"conventional",1,0,NA,NA,NA,"gkg",0.17,18,0.0079615,"","",24.1,946,"surface","perennial","perennial","grass+legume","grass+legume",90,1.65,8.35,NA,5.85,2,NA,1,NA,34
"341",341,"Garc18",525,"10.1016/j.scitotenv.2017.11.240","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Europe",0,0,0,1,0,0,"Spain","direct",1,0,"pom fraction",0,"POC",3.472084672,2.673095775,0.3794309639,0.2921171003,1,1.37,1.42,4.756756,3.795796,NA,NA,NA,0,10,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,NA,49,24.13,26.88,0.69,NA,NA,"summer",0,1,0,0,"Belmonte de Tajo",40.2552778,-3.335277778,"grapevine",0,0,0,0,1,1,"brachypodium",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,3,12,"reduced or no-till",0,1,NA,NA,NA,"gkg",-0.262,-23,0.0019904,"","",13.7,440,"surface","perennial","perennial","grass","grass",49,24.13,26.88,0.69,NA,1,NA,3,NA,11
"342",342,"Land",701,"10.3232/SJSS.2020.V10.N2.03","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",1,"POC",6.5,7.9,0.3551614518,0.4316577645,1,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,1.89,6.4,NA,"fall",0,0,1,0,"Marcos Juarez INTA Experimental Station",-32.7124028,-61.09613056,"soybean,corn",0,0,1,0,0,2,"common vetch",0,1,0,0,0,0,0,NA,NA,1.702035,NA,"winter",0,0,0,1,0,1,9,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.195,22,0.0019904,"","",17.1,963,"surface","cereal+legume","cereal+legume","legume","legume",NA,NA,NA,1.89,6.4,1,1.702035,9,0,35
"343",343,"Land",702,"10.3232/SJSS.2020.V10.N2.03","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",1,"POC",6.5,8.8,0.3551614518,0.4808339655,1,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,1.89,6.4,NA,"fall",0,0,1,0,"Marcos Juarez INTA Experimental Station",-32.7124028,-61.09613056,"soybean,corn",0,0,1,0,0,2,"hairy vetch",0,1,0,0,0,0,0,NA,NA,2.6006233,NA,"winter",0,0,0,1,0,1,9,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.303,35,0.0019904,"","",17.1,963,"surface","cereal+legume","cereal+legume","legume","legume",NA,NA,NA,1.89,6.4,1,2.6006233,9,0,35
"344",344,"Land",703,"10.3232/SJSS.2020.V10.N2.03","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",1,"POC",6.5,8.5,0.3551614518,0.4644418985,1,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,1.89,6.4,NA,"fall",0,0,1,0,"Marcos Juarez INTA Experimental Station",-32.7124028,-61.09613056,"soybean,corn",0,0,1,0,0,2,"hairy vetch,triticale",0,0,1,0,0,0,0,NA,NA,3.2800798,NA,"winter",0,0,0,1,0,2,9,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.268,31,0.0019904,"","",17.1,963,"surface","cereal+legume","cereal+legume","grass+legume","grass+legume",NA,NA,NA,1.89,6.4,2,3.2800798,9,0,35
"345",345,"Land",704,"10.3232/SJSS.2020.V10.N2.03","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",1,"POC",6.5,7.7,0.3551614518,0.4207297198,1,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,1.89,6.4,NA,"fall",0,0,1,0,"Marcos Juarez INTA Experimental Station",-32.7124028,-61.09613056,"soybean,corn",0,0,1,0,0,2,"triticale",1,0,0,0,0,0,0,NA,NA,3.6585034,NA,"winter",0,0,0,1,0,1,9,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.169,18,0.0019904,"","",17.1,963,"surface","cereal+legume","cereal+legume","grass","grass",NA,NA,NA,1.89,6.4,1,3.6585034,9,0,35
"346",346,"Land",705,"10.3232/SJSS.2020.V10.N2.03","glass beads",0,0,1,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",1,"POC",6.5,8.5,0.3551614518,0.4644418985,1,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,1.89,6.4,NA,"fall",0,0,1,0,"Marcos Juarez INTA Experimental Station",-32.7124028,-61.09613056,"soybean,corn",0,0,1,0,0,2,"rye",1,0,0,0,0,0,0,NA,NA,3.1837546,NA,"winter",0,0,0,1,0,1,9,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.268,31,0.0019904,"","",17.1,963,"surface","cereal+legume","cereal+legume","grass","grass",NA,NA,NA,1.89,6.4,1,3.1837546,9,0,35
"347",347,"Rigo",951,"10.2489/jswc.2020.00188","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",2.9,3.5,0.3169132954,0.3824815635,1,1.32,1.32,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,"0-20",10.4,24.1,65,NA,4.8,"CaCl2","fall",0,0,1,0,"Botucatu, Sao Paulo",-22.8166667,-48.41666667,"soybean",0,1,0,0,0,2,"sunn hemp",0,1,0,0,0,0,0,NA,NA,NA,NA,"spring",1,0,0,0,0,1,12,4,"conventional",1,0,0,NA,NA,"gkg",0.188,21,0.0059711,"all plots got one of two winter cover crops (triticale or sunflower)","",20.6,1283,"surface","legume","legume","legume","legume",10.4,24.1,65,NA,4.8,1,NA,12,0,40
"348",348,"Rigo",952,"10.2489/jswc.2020.00188","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",2.9,3.8,0.3169132954,0.4152656975,1,1.32,1.32,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,"0-20",10.4,24.1,65,NA,4.8,"CaCl2","fall",0,0,1,0,"Botucatu, Sao Paulo",-22.8166667,-48.41666667,"soybean",0,1,0,0,0,2,"forage sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"spring",1,0,0,0,0,1,12,4,"conventional",1,0,0,NA,NA,"gkg",0.27,31,0.0059711,"all plots got one of two winter cover crops (triticale or sunflower)","",20.6,1283,"surface","legume","legume","grass","grass",10.4,24.1,65,NA,4.8,1,NA,12,0,40
"349",349,"Rigo",953,"10.2489/jswc.2020.00188","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",2.9,4.2,0.3169132954,0.4589778761,1,1.32,1.32,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,"0-20",10.4,24.1,65,NA,4.8,"CaCl2","fall",0,0,1,0,"Botucatu, Sao Paulo",-22.8166667,-48.41666667,"soybean",0,1,0,0,0,2,"pearl millet",1,0,0,0,0,0,0,NA,NA,NA,NA,"spring",1,0,0,0,0,1,12,4,"conventional",1,0,0,NA,NA,"gkg",0.37,45,0.0059711,"all plots got one of two winter cover crops (triticale or sunflower)","",20.6,1283,"surface","legume","legume","grass","grass",10.4,24.1,65,NA,4.8,1,NA,12,0,40
"350",350,"Yao19",1288,"10.2136/sssaj2019.03.0089","combo",0,0,0,0,1,"size and density",0,0,1,"Asia",0,1,0,0,0,0,"China","direct",1,0,"pom fraction",0,"POC",2.93456,3.5889575,0.2656515606,0.2125215949,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-20",NA,NA,24,0.83,8.11,"water","summer",0,1,0,0,"Agricultural Technology Demonstration Center of Changwu County",35.2,107.7333333,"winter wheat",1,0,0,0,0,1,"Huai bean",0,1,0,0,0,0,0,NA,NA,NA,NA,"summer",0,1,0,0,0,1,8,3,"conventional",1,0,101.25,NA,NA,"gkg",0.201,22,0.0039004,"","",10.8,588,"surface","cereal","cereal","legume","legume",NA,NA,24,0.83,8.11,1,NA,8,101.25,36
"351",351,"Yao19",1289,"10.2136/sssaj2019.03.0089","combo",0,0,0,0,1,"size and density",0,0,1,"Asia",0,1,0,0,0,0,"China","direct",1,0,"pom fraction",0,"POC",2.93456,3.619632,0.2656515606,0.1593912827,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-20",NA,NA,24,0.83,8.11,"water","summer",0,1,0,0,"Agricultural Technology Demonstration Center of Changwu County",35.2,107.7333333,"winter wheat",1,0,0,0,0,1,"soybean",0,1,0,0,0,0,0,NA,NA,NA,NA,"summer",0,1,0,0,0,1,8,3,"conventional",1,0,101.25,NA,NA,"gkg",0.21,23,0.003378,"","",10.8,588,"surface","cereal","cereal","legume","legume",NA,NA,24,0.83,8.11,1,NA,8,101.25,36
"352",352,"Yao19",1290,"10.2136/sssaj2019.03.0089","combo",0,0,0,0,1,"size and density",0,0,1,"Asia",0,1,0,0,0,0,"China","direct",1,0,"pom fraction",0,"POC",2.93456,3.90593,0.2656515606,0.212520902,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-20",NA,NA,24,0.83,8.11,"water","summer",0,1,0,0,"Agricultural Technology Demonstration Center of Changwu County",35.2,107.7333333,"winter wheat",1,0,0,0,0,1,"mung bean",0,1,0,0,0,0,0,NA,NA,NA,NA,"summer",0,1,0,0,0,1,8,3,"conventional",1,0,101.25,NA,NA,"gkg",0.286,33,0.0037184,"","",10.8,588,"surface","cereal","cereal","legume","legume",NA,NA,24,0.83,8.11,1,NA,8,101.25,36
"353",353,"Cate",232,"10.1016/j.agee.2019.106649","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POM",65.7,67.9,9.391485505,8.720665112,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"Arlington Agricultural Research Station",43.2958333,-89.38,"maize",1,0,0,0,0,1,"bluegrass",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,3,5,"conventional",1,0,NA,NA,0,"gkg",0.033,3,0.0073857,"harvested for grain","",7.5,804,"surface","cereal","cereal","grass","grass",NA,NA,NA,NA,NA,1,NA,3,NA,38
"354",354,"Cate",233,"10.1016/j.agee.2019.106649","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POM",65.7,57.7,9.391485505,5.142956348,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"Arlington Agricultural Research Station",43.2958333,-89.38,"maize",1,0,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,3,5,"conventional",1,0,NA,NA,0,"gkg",-0.13,-12,0.0056756,"harvested for grain","",7.5,804,"surface","cereal","cereal","grass","grass",NA,NA,NA,NA,NA,1,NA,3,NA,38
"355",355,"Cate",234,"10.1016/j.agee.2019.106649","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POM",62,75.7,5.813776741,13.19280107,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"Arlington Agricultural Research Station",43.2958333,-89.38,"maize",1,0,0,0,0,1,"bluegrass",1,0,0,0,0,0,0,NA,NA,NA,NA,"year-round",0,0,0,0,1,1,3,5,"conventional",1,0,NA,NA,100,"gkg",0.2,22,0.0078331,"harvested for silage","",7.5,804,"surface","cereal","cereal","grass","grass",NA,NA,NA,NA,NA,1,NA,3,NA,38
"356",356,"Cate",235,"10.1016/j.agee.2019.106649","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POM",62,71.4,5.813776741,12.52198067,NA,NA,NA,NA,NA,NA,NA,NA,0,10,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"fall",0,0,1,0,"Arlington Agricultural Research Station",43.2958333,-89.38,"maize",1,0,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,3,5,"conventional",1,0,NA,NA,100,"gkg",0.141,15,0.0079101,"harvested for silage","",7.5,804,"surface","cereal","cereal","grass","grass",NA,NA,NA,NA,NA,1,NA,3,NA,38
"425",425,"Wies",1270,"10.5194/se-6-609-2015","sonication",0,0,0,1,0,"density",0,1,0,"Europe",0,0,0,1,0,0,"Moldova","direct",1,0,"pom fraction",1,"POC",473.3,505.3,8.063808033,21.34537421,NA,1.291498,1.1101215,NA,NA,NA,NA,NA,0,12,NA,0,0,0,"Mollisols",0,0,1,0,0,0,"0-20",7.85,55.5,36.65,NA,6.6,"water","fall",0,0,1,0,"Orhei",45.85,28.31666667,"sunflower",0,0,0,1,0,1,"hairy vetch,wheat",0,0,1,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,10,"conventional",1,0,34,NA,NA,"gkg",0.065,7,0.0002075,"","",10.3,496,NA,"other row crop","other row crop","grass+legume","grass+legume",7.85,55.5,36.65,NA,6.6,1,NA,1,34,41
"426",426,"Wies",1271,"10.5194/se-6-609-2015","sonication",0,0,0,1,0,"density",0,1,0,"Europe",0,0,0,1,0,0,"Moldova","direct",1,0,"pom fraction",1,"POC",475.1,514.5,12.49099676,18.34121043,NA,1.2709677,1.08,NA,NA,NA,NA,NA,0,12,NA,0,0,0,"Mollisols",0,0,1,0,0,0,"0-20",7.85,55.5,36.65,NA,6.6,"water","fall",0,0,1,0,"Cahul",45.85,28.31666667,"corn",1,0,0,0,0,1,"hairy vetch,wheat",0,0,1,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,10,"conventional",1,0,34,NA,NA,"gkg",0.08,8,0.0001962,"","",10.3,496,NA,"cereal","cereal","grass+legume","grass+legume",7.85,55.5,36.65,NA,6.6,1,NA,1,34,41
"431",431,"Vier",1226,"10.1016/j.still.2007.06.007","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",1.05,1.11,0.114744469,0.1213012958,1,NA,NA,NA,NA,NA,NA,NA,0,12.5,NA,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Eldorado do Sul",-30.1097222,-51.67694444,"oat,maize",1,0,0,0,0,2,"vetch",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,19,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.056,6,0.0079615,"","",19.3,1358,NA,"cereal","cereal","legume","legume",54,24,22,NA,NA,1,NA,19,0,42
"432",432,"Vier",1227,"10.1016/j.still.2007.06.007","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",1.05,1.6,0.114744469,0.1748487147,1,NA,NA,NA,NA,NA,NA,NA,0,12.5,NA,0,0,0,"Ultisols",0,0,0,0,0,1,NA,54,24,22,NA,NA,NA,"spring",1,0,0,0,"Eldorado do Sul",-30.1097222,-51.67694444,"oat,maize",1,0,0,0,0,2,"vetch,cowpea",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter and summer",0,1,0,1,0,2,19,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.421,52,0.0079615,"","",19.3,1358,NA,"cereal","cereal","legume","legume",54,24,22,NA,NA,2,NA,19,0,42
"477",477,"Hass",578,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.7464941429,0.6837017143,0.08157721339,0.07471522875,1,1.4,1.4,1.5676377,1.4357736,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"summer",0,1,0,0,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"mungbean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"conventional",1,0,NA,"organic",NA,"gkg",-0.088,-8,0.0079615,"tine cultivator","",21.6,923,NA,"cereal","cereal","legume","legume",38.1,32.2,29.6,0.52,7.7,1,NA,1,NA,44
"478",478,"Hass",579,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.7464941429,0.6095238095,0.08157721339,0.06660903418,1,1.4,1.4,1.5676377,1.28,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"summer",0,1,0,0,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"conventional",1,0,NA,"organic",NA,"gkg",-0.203,-18,0.0079615,"tine cultivator","",21.6,923,NA,"cereal","cereal","grass","grass",38.1,32.2,29.6,0.52,7.7,1,NA,1,NA,44
"479",479,"Hass",580,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.8105307143,0.7697783333,0.08857515852,0.08412172013,1,1.4,1.4,1.7021145,1.6165345,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"summer",0,1,0,0,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"mungbean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"conventional",1,0,NA,"organic",NA,"gkg",-0.052,-5,0.0079615,"moldboard plough","",21.6,923,NA,"cereal","cereal","legume","legume",38.1,32.2,29.6,0.52,7.7,1,NA,1,NA,44
"480",480,"Hass",581,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.8105307143,0.7901409048,0.08857515852,0.08634695103,1,1.4,1.4,1.7021145,1.6592959,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"summer",0,1,0,0,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"conventional",1,0,NA,"organic",NA,"gkg",-0.025,-3,0.0079615,"moldboard plough","",21.6,923,NA,"cereal","cereal","grass","grass",38.1,32.2,29.6,0.52,7.7,1,NA,1,NA,44
"481",481,"Hass",582,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.8437940476,0.766774381,0.09221019045,0.08379344687,1,1.4,1.4,1.7719675,1.6102262,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"summer",0,1,0,0,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"mungbean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"reduced or no-till",0,1,NA,"organic",NA,"gkg",-0.096,-9,0.0079615,"","",21.6,923,NA,"cereal","cereal","legume","legume",38.1,32.2,29.6,0.52,7.7,1,NA,1,NA,44
"482",482,"Hass",583,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.8437940476,0.7549251905,0.09221019045,0.08249856204,1,1.4,1.4,1.7719675,1.5853429,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"summer",0,1,0,0,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,1,3,"reduced or no-till",0,1,NA,"organic",NA,"gkg",-0.111,-11,0.0079615,"","",21.6,923,NA,"cereal","cereal","grass","grass",38.1,32.2,29.6,0.52,7.7,1,NA,1,NA,44
"483",483,"Hass",584,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.824135381,0.302743619,0.09006188257,0.03308395793,1,1.4,1.4,1.7306843,0.6357616,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"mungbean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"conventional",1,0,NA,"organic",NA,"gkg",-1.001,-63,0.0079615,"tine cultivator","",21.6,923,NA,"cereal","cereal","legume","legume",38.1,32.2,29.6,0.52,7.7,1,NA,2,NA,44
"484",484,"Hass",585,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",0.824135381,0.6517397143,0.09006188257,0.07122240711,1,1.4,1.4,1.7306843,1.3686534,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"sorghum",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"conventional",1,0,NA,"organic",NA,"gkg",-0.235,-21,0.0079615,"tine cultivator","",21.6,923,NA,"cereal","cereal","grass","grass",38.1,32.2,29.6,0.52,7.7,1,NA,2,NA,44
"485",485,"Hass",586,"10.1002/ldr.2345","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"Asia",0,1,0,0,0,0,"Pakistan","direct",1,0,"pom fraction",0,"POC",1.520013905,0.6320541429,0.1661077985,0.06907115907,1,1.4,1.4,3.1920292,1.3273137,NA,NA,NA,0,15,NA,0,0,0,"Alfisols",1,0,0,0,0,0,NA,38.1,32.2,29.6,0.52,7.7,NA,"winter",0,0,0,1,"Pir Mehr Ali Shah-Arid Agriculture University",33.6333333,73.08333333,"wheat",1,0,0,0,0,1,"mungbean",0,1,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,2,3,"conventional",1,0,NA,"organic",NA,"gkg",-0.877,-58,0.0079615,"moldboard plough","",21.6,923,NA,"cereal","cereal","legume","legume",38.1,32.2,29.6,0.52,7.7,1,NA,2,NA,44
