"","X","StudyID","Obs.ID","DOI","DispersingAgent","DispersingAgent.SodiumHex","DispersingAgent.OtherSolution","DispersingAgent.GlassBeads","DispersingAgent.Sonication","DispersingAgent.Combo","FractionationMethod","FractionationMethod.Size","FractionationMethod.Density","FractionationMethod.SizeAndDensity","Continent","Continent.Africa","Continent.Asia","Continent.Australia","Continent.Europe","Continent.NorthAmerica","Continent.SouthAmerica","country","ResponseCalc","ResponseCalc.Direct","ResponseCalc.Indirect","rv.type","summed","rv","mean.control.in.g.kg.1","mean.treatment.in.g.kg.1","sd.control.in.g.kg..1","sd.treatment.in.g.kg.1","sd.imputed.in.g.kg.1","control.BD..Mg.m.3.","treat.BD..Mg.m.3.","mean.control.in.Mg.ha.1","mean.treatment.in.Mg.ha.1","sd.control.in.Mg.ha.1","sd.treatment.in.Mg.ha.1","sd.imputed.in.Mg.ha.1","depth.upper.limit..cm.","depth.lower.limit..cm.","depth.type","depth.surface","depth.subsoil","depth.deepsoil","soilorder","soilorder.Alfisols","soilorder.Inceptisols","soilorder.Mollisols","soilorder.Oxisols","soilorder.Spodosols","soilorder.Ultisols","Baseline.depth..cm.","Baseline...sand","Baseline...silt","Baseline...clay","Baseline.TOC..","Baseline.pH","pH.method","SoilCollectionSeason","SoilCollectionSeason.spring","SoilCollectionSeason.summer","SoilCollectionSeason.fall","SoilCollectionSeason.winter","location.name","lat.decimal","long.decimal","maincrop","maincrop.cereal","maincrop.legume","maincrop.cereallegume","maincrop.otherrowcrop","maincrop.perennial","number.of.crop.species.in.control","cover.crop.added","ccadded.grass","ccadded.legume","ccadded.grasslegume","ccadded.brassica","ccadded.grassbrassica","ccadded.legumebrassica","ccadded.grasslegumebrassica","total.C.inputs.cover.crops..Mg.ha.1.yr.1.","bg.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.fallow..Mg.ha.1.yr.1.","ccseason","ccseason.spring","ccseason.summer","ccseason.fall","ccseason.winter","ccseason.yearround","number.crop.species.added","duration..yr.","reps","tillage","tillage.conventional","tillage.reducednotill","N.fertilization.rate..kg.ha.1.yr.1.","N.type","residue.removal....","logRR.type","logRR","percent.change","var","Further.notes","Further.notes.2","Temp","Prec","depth","maincrop.category","cropping.system","cover.crop.category","cover.crop","sand","silt","clay","toc","ph","species.added","ag.C.inputs","duration","nfert","StudyNum"
"28",28,"Mott",795,"10.1080/00103620701663065","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",287,286,31.3634882,31.25420776,1,NA,NA,NA,NA,NA,NA,NA,0,3,"surface",1,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Alabama Agriculture Experiment Station",34.6916667,-86.89027778,"cotton",0,0,0,1,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,21,4,"conventional",1,0,80,"inorganic",NA,"gkg",-0.003,0,0.0059711,"","",15.3,1423,"surface","other row crop","other row crop","grass","grass",NA,NA,NA,NA,NA,1,NA,21,80,5
"29",29,"Mott",796,"10.1080/00103620701663065","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"North America",0,0,0,0,1,0,"USA","direct",1,0,"pom fraction",0,"POC",483,450,52.78245576,49.17620102,1,NA,NA,NA,NA,NA,NA,NA,0,3,"surface",1,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Alabama Agriculture Experiment Station",34.6916667,-86.89027778,"cotton",0,0,0,1,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,NA,NA,"winter",0,0,0,1,0,1,9,4,"reduced or no-till",0,1,80,"inorganic",NA,"gkg",-0.071,-7,0.0059711,"","",15.3,1423,"surface","other row crop","other row crop","grass","grass",NA,NA,NA,NA,NA,1,NA,9,80,5
"72",72,"Amad",1,"10.2134/jeq2005.0233","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",NA,NA,NA,NA,NA,NA,NA,1.09,2.49,0.1345352131,0.3073327345,1,0,5,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,"A horizon",66,25.3,8.7,NA,4.5,"water",NA,0,0,0,0,"Santa Maria",-29.75,-53.7,"corn",1,0,0,0,0,1,"ryegrass",1,0,0,0,0,0,0,NA,NA,3.76,NA,"winter",0,0,0,1,0,1,10,2,"reduced or no-till",0,1,120,"organic",NA,"mgha",0.826,128,0.0152342,"","",19.4,1654,"surface","cereal","cereal","grass","grass",66,25.3,8.7,NA,4.5,1,3.76,10,120,19
"73",73,"Amad",2,"10.2134/jeq2005.0233","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",NA,NA,NA,NA,NA,NA,NA,1.09,2.97,0.1345352131,0.366577599,1,0,5,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,"A horizon",66,25.3,8.7,NA,4.5,"water",NA,0,0,0,0,"Santa Maria",-29.75,-53.7,"corn",1,0,0,0,0,1,"velvet beans",0,1,0,0,0,0,0,NA,NA,4.51,NA,"winter",0,0,0,1,0,1,10,2,"reduced or no-till",0,1,120,"organic",NA,"mgha",1.002,172,0.0152342,"","",19.4,1654,"surface","cereal","cereal","legume","legume",66,25.3,8.7,NA,4.5,1,4.51,10,120,19
"74",74,"Balb",19,"10.1590/S0100-204X2011001000032","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",80.02,98.52,8.744621345,10.76630961,1,1,0.99,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Inceptisols",0,1,0,0,0,0,"0-20",5,44.4,50.6,2.87,5.25,NA,"spring",1,0,0,0,"North Plateau of Santa Catarina State",-26.4833333,-50.4,"corn-common bean-soybean",0,0,1,0,0,3,"black oat, ryegrass, vetch ",0,0,1,0,0,0,0,NA,NA,1.996875,NA,"winter",0,0,0,1,0,3,4,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.208,23,0.0079615,"","",16.7,1495,"surface","cereal+legume","cereal+legume","grass+legume","grass+legume",5,44.4,50.6,2.87,5.25,3,1.996875,4,0,20
"75",75,"Balb",20,"10.1590/S0100-204X2011001000032","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"pom fraction",0,"POC",80.02,84.91,8.744621345,9.279002729,1,1,0.97,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Inceptisols",0,1,0,0,0,0,"0-20",5,44.4,50.6,2.87,5.25,NA,"spring",1,0,0,0,"North Plateau of Santa Catarina State",-26.4833333,-50.4,"corn-common bean-soybean",0,0,1,0,0,3,"oilseed radish",0,0,0,1,0,0,0,NA,NA,1.17225,NA,"winter",0,0,0,1,0,1,4,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.059,6,0.0079615,"","",16.7,1495,"surface","cereal+legume","cereal+legume","brassica","brassica",5,44.4,50.6,2.87,5.25,1,1.17225,4,0,20
"76",76,"Belt18",172,"10.1007/s12665-018-7606-0","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",1,"POC",6.2,9.37,0.385,0.23,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Balcarce Research Station",-37.75,-58.25,"soybean",0,1,0,0,0,1,"oat",1,0,0,0,0,0,0,NA,NA,2.2,0,"winter",0,0,0,1,0,1,8,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.413,51,0.0014862,"","",14,827,"surface","legume","legume","grass","grass",NA,NA,NA,NA,NA,1,2.2,8,0,18
"77",77,"Belt21",186,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",1,"POC",NA,NA,NA,NA,NA,NA,NA,1.63,4.043,0.1005928428,0.2495072782,1,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,54.5,26.9,18.6,NA,5.6,"water","spring",1,0,0,0,"Villegas coarse textured soil",-34.9,-62.06666667,"soybean",0,1,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,2.01,NA,"winter",0,0,0,1,0,1,8,3,"reduced or no-till",0,1,NA,NA,NA,"mgha",0.908,148,0.002539,"","",15.7,833,"surface","legume","legume","grass","grass",54.5,26.9,18.6,NA,5.6,1,2.01,8,NA,6
"78",78,"Belt21",187,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",1,"POC",NA,NA,NA,NA,NA,NA,NA,3.718,5.63,0.2294504231,0.3474464448,1,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,23.6,56.9,19.5,NA,5.7,"water","spring",1,0,0,0,"Balcarce fine-textured soil with high temperature and rainfall",-37.75,-58.25,"soybean",0,1,0,0,0,1,"oat",1,0,0,0,0,0,0,NA,NA,1.96,NA,"winter",0,0,0,1,0,1,8,3,"reduced or no-till",0,1,NA,NA,NA,"mgha",0.415,51,0.002539,"","",14,827,"surface","legume","legume","grass","grass",23.6,56.9,19.5,NA,5.7,1,1.96,8,NA,6
"79",79,"Belt21",188,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"pom fraction",1,"POC",NA,NA,NA,NA,NA,NA,NA,0.701,1.222,0.04326109375,0.07541377541,1,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,8.3,70.8,20.9,NA,6,"water","spring",1,0,0,0,"Oliveros fine-textured soil with low temperature and rainfall",-32.5333333,-60.86666667,"soybean",0,1,0,0,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,1.58,NA,"winter",0,0,0,1,0,1,8,3,"reduced or no-till",0,1,NA,NA,NA,"mgha",0.556,74,0.002539,"","",17.4,993,"surface","legume","legume","grass","grass",8.3,70.8,20.9,NA,6,1,1.58,8,NA,6
