"","X.1","X","StudyID","Obs.ID","DOI","DispersingAgent","DispersingAgent.SodiumHex","DispersingAgent.OtherSolution","DispersingAgent.GlassBeads","DispersingAgent.Sonication","DispersingAgent.Combo","FractionationMethod","FractionationMethod.Size","FractionationMethod.Density","FractionationMethod.SizeAndDensity","Continent","Continent.Africa","Continent.Asia","Continent.Australia","Continent.Europe","Continent.NorthAmerica","Continent.SouthAmerica","country","ResponseCalc","ResponseCalc.Direct","ResponseCalc.Indirect","rv.type","summed","rv","mean.control.in.g.kg.1","mean.treatment.in.g.kg.1","sd.control.in.g.kg..1","sd.treatment.in.g.kg.1","sd.imputed.in.g.kg.1","control.BD..Mg.m.3.","treat.BD..Mg.m.3.","mean.control.in.Mg.ha.1","mean.treatment.in.Mg.ha.1","sd.control.in.Mg.ha.1","sd.treatment.in.Mg.ha.1","sd.imputed.in.Mg.ha.1","depth.upper.limit..cm.","depth.lower.limit..cm.","depth.type","depth.surface","depth.subsoil","depth.deepsoil","soilorder","soilorder.Alfisols","soilorder.Inceptisols","soilorder.Mollisols","soilorder.Oxisols","soilorder.Spodosols","soilorder.Ultisols","Baseline.depth..cm.","Baseline...sand","Baseline...silt","Baseline...clay","Baseline.TOC..","Baseline.pH","pH.method","SoilCollectionSeason","SoilCollectionSeason.spring","SoilCollectionSeason.summer","SoilCollectionSeason.fall","SoilCollectionSeason.winter","location.name","lat.decimal","long.decimal","maincrop","maincrop.cereal","maincrop.legume","maincrop.cereallegume","maincrop.otherrowcrop","maincrop.perennial","number.of.crop.species.in.control","cover.crop.added","ccadded.grass","ccadded.legume","ccadded.grasslegume","ccadded.brassica","ccadded.grassbrassica","ccadded.legumebrassica","ccadded.grasslegumebrassica","total.C.inputs.cover.crops..Mg.ha.1.yr.1.","bg.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.cover.crops..Mg.ha.1.yr.1.","ag.C.inputs.fallow..Mg.ha.1.yr.1.","ccseason","ccseason.spring","ccseason.summer","ccseason.fall","ccseason.winter","ccseason.yearround","number.crop.species.added","duration..yr.","reps","tillage","tillage.conventional","tillage.reducednotill","N.fertilization.rate..kg.ha.1.yr.1.","N.type","residue.removal....","logRR.type","logRR","percent.change","var","Further.notes","Further.notes.2","Temp","Prec","comp","depth","maincrop.category","cropping.system","cover.crop.category","cover.crop","sand","silt","clay","toc","ph","species.added","ag.C.inputs","duration","nfert","StudyNum"
"125",147,195,"Amad",4,"10.2134/jeq2005.0233","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"SOC",NA,NA,NA,NA,NA,NA,NA,6.76,9.42,0.8343651748,1.162680465,1,0,5,"surface",1,0,0,"Alfisols",1,0,0,0,0,0,"A horizon",66,25.3,8.7,NA,4.5,"water",NA,0,0,0,0,"Santa Maria",-29.75,-53.7,"corn",1,0,0,0,0,1,"velvet beans",0,1,0,0,0,0,0,NA,NA,4.51,NA,"winter","0","0",0,"1","0",1,10,2,"reduced or no-till",0,1,120,"organic",NA,"mgha",0.332,39,0.0152342,"","",19.4,1654,"cc vs. fallow","surface","cereal","cereal","legume","legume",66,25.3,8.7,NA,4.5,1,4.51,10,120,16
"126",148,196,"Balb",25,"10.1590/S0100-204X2011001000032","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"SOC",48.82,57.96,5.335071408,6.333894691,1,1,0.99,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Inceptisols",0,1,0,0,0,0,"0-20",5,44.4,50.6,2.87,5.25,NA,"spring",1,0,0,0,"North Plateau of Santa Catarina State",-26.4833333,-50.4,"corn-common bean-soybean",0,0,1,0,0,3,"black oat, ryegrass, vetch ",0,0,1,0,0,0,0,NA,NA,1.996875,NA,"winter","0","0",0,"1","0",3,4,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.172,19,0.0079615,"","",16.7,1495,"cc vs. fallow","surface","cereal+legume","cereal+legume","grass+legume","grass+legume",5,44.4,50.6,2.87,5.25,3,1.996875,4,0,17
"127",149,197,"Balb",26,"10.1590/S0100-204X2011001000032","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Brazil","direct",1,0,"total organic matter",0,"SOC",48.82,50.76,5.335071408,5.547075474,1,1,0.97,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Inceptisols",0,1,0,0,0,0,"0-20",5,44.4,50.6,2.87,5.25,NA,"spring",1,0,0,0,"North Plateau of Santa Catarina State",-26.4833333,-50.4,"corn-common bean-soybean",0,0,1,0,0,3,"oilseed radish",0,0,0,1,0,0,0,NA,NA,1.17225,NA,"winter","0","0",0,"1","0",1,4,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.039,4,0.0079615,"","",16.7,1495,"cc vs. fallow","surface","cereal+legume","cereal+legume","brassica","brassica",5,44.4,50.6,2.87,5.25,1,1.17225,4,0,17
"128",150,198,"Belt18",173,"10.1007/s12665-018-7606-0","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"total organic matter",0,"SOC",23.4,27.92,0.8767,0.6335,NA,NA,NA,NA,NA,NA,NA,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,"spring",1,0,0,0,"Balcarce Research Station",-37.75,-58.25,"soybean",0,1,0,0,0,1,"oat",1,0,0,0,0,0,0,NA,NA,2.2,0,"winter","0","0",0,"1","0",1,8,3,"reduced or no-till",0,1,0,NA,NA,"gkg",0.177,19,0.0006395,"","",14,827,"cc vs. fallow","surface","legume","legume","grass","grass",NA,NA,NA,NA,NA,1,2.2,8,0,15
"129",151,199,"Belt21",198,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"total organic matter",0,"SOC",NA,NA,NA,NA,NA,NA,NA,6.9,9,0.8516449269,1.110841209,1,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,54.5,26.9,18.6,NA,5.6,"water","spring",1,0,0,0,"Villegas coarse textured soil",-34.9,-62.06666667,"soybean",0,1,0,0,0,1,"rye",1,0,0,0,0,0,0,NA,NA,2.01,NA,"winter","0","0",0,"1","0",1,8,3,"reduced or no-till",0,1,NA,NA,NA,"mgha",0.266,30,0.0101561,"","",15.7,833,"cc vs. fallow","surface","legume","legume","grass","grass",54.5,26.9,18.6,NA,5.6,1,2.01,8,NA,5
"130",152,200,"Belt21",199,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"total organic matter",0,"SOC",NA,NA,NA,NA,NA,NA,NA,14.1,16.7,1.740317894,2.061227577,1,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,23.6,56.9,19.5,NA,5.7,"water","spring",1,0,0,0,"Balcarce fine-textured soil with high temperature and rainfall",-37.75,-58.25,"soybean",0,1,0,0,0,1,"oat",1,0,0,0,0,0,0,NA,NA,1.96,NA,"winter","0","0",0,"1","0",1,8,3,"reduced or no-till",0,1,NA,NA,NA,"mgha",0.169,18,0.0101561,"","",14,827,"cc vs. fallow","surface","legume","legume","grass","grass",23.6,56.9,19.5,NA,5.7,1,1.96,8,NA,5
"131",153,201,"Belt21",200,"10.1002/saj2.20257","other solution",0,1,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"total organic matter",0,"SOC",NA,NA,NA,NA,NA,NA,NA,7.2,7.4,0.8886729672,0.9133583274,1,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,NA,8.3,70.8,20.9,NA,6,"water","spring",1,0,0,0,"Oliveros fine-textured soil with low temperature and rainfall",-32.5333333,-60.86666667,"soybean",0,1,0,0,0,1,"wheat",1,0,0,0,0,0,0,NA,NA,1.58,NA,"winter","0","0",0,"1","0",1,8,3,"reduced or no-till",0,1,NA,NA,NA,"mgha",0.027,3,0.0101561,"","",17.4,993,"cc vs. fallow","surface","legume","legume","grass","grass",8.3,70.8,20.9,NA,6,1,1.58,8,NA,5
"132",157,205,"Cres",309,"10.1016/j.catena.2021.105145","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"total organic matter",0,"SOC",NA,NA,NA,NA,NA,NA,NA,13.92,15.81,0.6408587988,0.692820323,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-20",42.91,32.91,24.18,NA,5.4,"water","fall",0,0,1,0,"Balcare (site 1)",-37.7536111,-58.29805556,"soybean",0,1,0,0,0,1,"oat",1,0,0,0,0,0,0,2.82,NA,NA,NA,"winter","0","0",0,"1","0",1,10,3,"reduced or no-till",0,1,60,"organic",NA,"mgha",0.127,14,0.0013466,"","",14,827,"cc vs. fallow","surface","legume","legume","grass","grass",42.91,32.91,24.18,NA,5.4,1,NA,10,60,18
"133",158,206,"Cres",310,"10.1016/j.catena.2021.105145","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"total organic matter",0,"SOC",NA,NA,NA,NA,NA,NA,NA,8.18,12.82,0.3464101615,0.4330127019,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-20",13.31,62.7,23.99,NA,6,"water","fall",0,0,1,0,"Marcos Juarez (site 2)",-32.7202778,-62.10388889,"soybean",0,1,0,0,0,1,"triticale",1,0,0,0,0,0,0,3.23,NA,NA,NA,"winter","0","0",0,"1","0",1,10,3,"reduced or no-till",0,1,80,"organic",NA,"mgha",0.449,57,0.0009781,"","",17.1,860,"cc vs. fallow","surface","legume","legume","grass","grass",13.31,62.7,23.99,NA,6,1,NA,10,80,18
"134",159,207,"Cres",311,"10.1016/j.catena.2021.105145","sodium hexametaphosphate",1,0,0,0,0,"size",1,0,0,"South America",0,0,0,0,0,1,"Argentina","direct",1,0,"total organic matter",0,"SOC",NA,NA,NA,NA,NA,NA,NA,11.12,13.93,1.991858429,0.692820323,NA,0,5,"surface",1,0,0,"Mollisols",0,0,1,0,0,0,"0-20",17.78,55.13,27.08,NA,6.3,"water","fall",0,0,1,0,"Parana (site 3)",-31.8497222,-60.53944444,"soybean",0,1,0,0,0,1,"wheat",1,0,0,0,0,0,0,3.55,NA,NA,NA,"winter","0","0",0,"1","0",1,10,3,"reduced or no-till",0,1,46,"organic",NA,"mgha",0.225,25,0.0115197,"","",18.1,1005,"cc vs. fallow","surface","legume","legume","grass","grass",17.78,55.13,27.08,NA,6.3,1,NA,10,46,18
